,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Ordinary Shares Number,4007000000.0,4066000000.0,4110000000.0,4217000000.0,
Share Issued,4007000000.0,4066000000.0,4110000000.0,4217000000.0,
Net Debt,23454000000.0,,2436000000.0,2351000000.0,2774000000.0
Total Debt,30962000000.0,8391000000.0,9515000000.0,11526000000.0,
Tangible Book Value,-24422000000.0,4000000000.0,-1100000000.0,-512000000.0,
Invested Capital,76419000000.0,52744000000.0,49288000000.0,52801000000.0,
Working Capital,-3722000000.0,12039000000.0,11077000000.0,12855000000.0,
Net Tangible Assets,-24422000000.0,4000000000.0,-1100000000.0,-512000000.0,
Common Stock Equity,45457000000.0,44353000000.0,39773000000.0,41275000000.0,
Total Capitalization,65078000000.0,51011000000.0,48189000000.0,50293000000.0,
Total Equity Gross Minority Interest,45457000000.0,44353000000.0,39773000000.0,41275000000.0,
Stockholders Equity,45457000000.0,44353000000.0,39773000000.0,41275000000.0,
Gains Losses Not Affecting Retained Earnings,-1430000000.0,-1575000000.0,-1622000000.0,-417000000.0,
Other Equity Adjustments,-1430000000.0,-1575000000.0,-1622000000.0,-417000000.0,
Retained Earnings,1087000000.0,1639000000.0,-1319000000.0,-654000000.0,
Capital Stock,45800000000.0,44289000000.0,42714000000.0,42346000000.0,
Common Stock,45800000000.0,44289000000.0,42714000000.0,42346000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,78956000000.0,57499000000.0,54229000000.0,56222000000.0,
Total Non Current Liabilities Net Minority Interest,38372000000.0,26190000000.0,28589000000.0,29965000000.0,
Other Non Current Liabilities,2540000000.0,2134000000.0,1968000000.0,2393000000.0,
Tradeand Other Payables Non Current,3985000000.0,5756000000.0,7725000000.0,8538000000.0,
Non Current Deferred Liabilities,12226000000.0,11642000000.0,10480000000.0,10016000000.0,
Non Current Deferred Revenue,12226000000.0,11642000000.0,10480000000.0,10016000000.0,
Long Term Debt And Capital Lease Obligation,19621000000.0,6658000000.0,8416000000.0,9018000000.0,
Long Term Debt,19621000000.0,6658000000.0,8416000000.0,9018000000.0,
Current Liabilities,40584000000.0,31309000000.0,25640000000.0,26257000000.0,
Other Current Liabilities,5643000000.0,5136000000.0,5199000000.0,4620000000.0,
Current Deferred Liabilities,16249000000.0,13908000000.0,12784000000.0,12148000000.0,
Current Deferred Revenue,16249000000.0,13908000000.0,12784000000.0,12148000000.0,
Current Debt And Capital Lease Obligation,11341000000.0,1733000000.0,1099000000.0,2508000000.0,
Current Debt,11341000000.0,1733000000.0,1099000000.0,2508000000.0,
Other Current Borrowings,488000000.0,1733000000.0,499000000.0,2508000000.0,
Commercial Paper,10853000000.0,0.0,600000000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,3608000000.0,3984000000.0,3316000000.0,3818000000.0,
Payables And Accrued Expenses,3743000000.0,6548000000.0,3242000000.0,3163000000.0,
Payables,3743000000.0,6548000000.0,3242000000.0,3163000000.0,
Total Tax Payable,1439000000.0,4235000000.0,961000000.0,801000000.0,
Income Tax Payable,1439000000.0,4235000000.0,961000000.0,801000000.0,
Accounts Payable,2304000000.0,2313000000.0,2281000000.0,2362000000.0,
Total Assets,124413000000.0,101852000000.0,94002000000.0,97497000000.0,
Total Non Current Assets,87551000000.0,58504000000.0,57285000000.0,58385000000.0,
Other Non Current Assets,5944000000.0,6007000000.0,5957000000.0,5016000000.0,
Non Current Deferred Assets,6262000000.0,6576000000.0,4449000000.0,4360000000.0,
Non Current Deferred Taxes Assets,6262000000.0,6576000000.0,4449000000.0,4360000000.0,
Non Current Note Receivables,2737000000.0,2869000000.0,2380000000.0,2745000000.0,
Non Current Accounts Receivable,639000000.0,614000000.0,4009000000.0,2139000000.0,
Goodwill And Other Intangible Assets,69879000000.0,40353000000.0,40873000000.0,41787000000.0,
Other Intangible Assets,11219000000.0,1818000000.0,2569000000.0,3619000000.0,
Goodwill,58660000000.0,38535000000.0,38304000000.0,38168000000.0,
Net PPE,2090000000.0,2085000000.0,1997000000.0,2338000000.0,
Accumulated Depreciation,-7783000000.0,-7973000000.0,-8168000000.0,-8580000000.0,
Gross PPE,9873000000.0,10058000000.0,10165000000.0,10918000000.0,
Other Properties,115000000.0,135000000.0,4832000000.0,5379000000.0,
Machinery Furniture Equipment,5511000000.0,5694000000.0,1114000000.0,1235000000.0,
Properties,4247000000.0,4229000000.0,4219000000.0,4304000000.0,
