,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Treasury Shares Number,116000000.0,82000000.0,20000000.0,8000000.0
Ordinary Shares Number,706335200.0,716000000.0,757000000.0,753000000.0
Share Issued,822335200.0,798000000.0,777000000.0,761000000.0
Net Debt,18628000000.0,20981000000.0,17477000000.0,29714000000.0
Total Debt,25994000000.0,29588000000.0,26954000000.0,39222000000.0
Tangible Book Value,-27805000000.0,-29266000000.0,-28916000000.0,-26192000000.0
Invested Capital,23590000000.0,26466000000.0,25269000000.0,42173000000.0
Working Capital,-12547000000.0,-9303000000.0,-11186000000.0,-10565000000.0
Net Tangible Assets,-27805000000.0,-29266000000.0,-28916000000.0,-26192000000.0
Capital Lease Obligations,,,,2223000000.0
Common Stock Equity,-2404000000.0,-3122000000.0,-1685000000.0,2951000000.0
Total Capitalization,16608000000.0,19893000000.0,19446000000.0,35816000000.0
Total Equity Gross Minority Interest,-2309000000.0,-3025000000.0,-1580000000.0,8025000000.0
Minority Interest,95000000.0,97000000.0,105000000.0,5074000000.0
Stockholders Equity,-2404000000.0,-3122000000.0,-1685000000.0,2951000000.0
Other Equity Interest,,,,472000000.0
Gains Losses Not Affecting Retained Earnings,-800000000.0,-1001000000.0,-431000000.0,-314000000.0
Other Equity Adjustments,-800000000.0,-1001000000.0,-431000000.0,-314000000.0
Treasury Stock,5900000000.0,3813000000.0,964000000.0,305000000.0
Retained Earnings,-4630000000.0,-6732000000.0,-8188000000.0,-13751000000.0
Capital Stock,8926000000.0,8424000000.0,7898000000.0,16849000000.0
Common Stock,8926000000.0,8424000000.0,7898000000.0,16849000000.0
Total Liabilities Net Minority Interest,84398000000.0,92636000000.0,94315000000.0,115390000000.0
Total Non Current Liabilities Net Minority Interest,35904000000.0,40982000000.0,38096000000.0,61258000000.0
Other Non Current Liabilities,3065000000.0,3223000000.0,3653000000.0,3923000000.0
Liabilities Heldfor Sale Non Current,,,0.0,12079000000.0
Non Current Deferred Liabilities,13827000000.0,14744000000.0,13312000000.0,12391000000.0
Non Current Deferred Revenue,13827000000.0,14744000000.0,13312000000.0,12391000000.0
Non Current Deferred Taxes Liabilities,,,,2173000000.0
Long Term Debt And Capital Lease Obligation,19012000000.0,23015000000.0,21131000000.0,32865000000.0
Long Term Capital Lease Obligation,,,,1787000000.0
Long Term Debt,19012000000.0,23015000000.0,21131000000.0,32865000000.0
Current Liabilities,48494000000.0,51654000000.0,56219000000.0,54132000000.0
Other Current Liabilities,,,,4375000000.0
Current Deferred Liabilities,15318000000.0,15542000000.0,14261000000.0,13201000000.0
Current Deferred Revenue,15318000000.0,15542000000.0,14261000000.0,13201000000.0
Current Debt And Capital Lease Obligation,6982000000.0,6573000000.0,5823000000.0,6357000000.0
Current Capital Lease Obligation,,,,436000000.0
Current Debt,6982000000.0,6573000000.0,5823000000.0,6357000000.0
Other Current Borrowings,,,,6362000000.0
Pensionand Other Post Retirement Benefit Plans Current,,,,3818000000.0
Payables And Accrued Expenses,26194000000.0,29539000000.0,36135000000.0,30199000000.0
Current Accrued Expenses,6805000000.0,8874000000.0,7578000000.0,7166000000.0
Payables,19389000000.0,20665000000.0,28557000000.0,23033000000.0
Dueto Related Parties Current,0.0,2067000000.0,1414000000.0,1461000000.0
Total Tax Payable,,,,1621000000.0
Accounts Payable,19389000000.0,18598000000.0,27143000000.0,21572000000.0
Total Assets,82089000000.0,89611000000.0,92735000000.0,123415000000.0
Total Non Current Assets,46142000000.0,47260000000.0,47702000000.0,79848000000.0
Other Non Current Assets,7116000000.0,7311000000.0,6985000000.0,38748000000.0
Non Current Deferred Assets,,,,7324000000.0
Non Current Deferred Taxes Assets,,,,6230000000.0
Duefrom Related Parties Non Current,0.0,440000000.0,710000000.0,451000000.0
Non Current Note Receivables,5877000000.0,5638000000.0,5522000000.0,5339000000.0
Non Current Accounts Receivable,,6078000000.0,6232000000.0,5790000000.0
Investments And Advances,1316000000.0,1518000000.0,1839000000.0,1334000000.0
Investmentin Financial Assets,,,,1624000000.0
Held To Maturity Securities,,,,185000000.0
Available For Sale Securities,,,,1439000000.0
Goodwill And Other Intangible Assets,25401000000.0,26144000000.0,27231000000.0,29143000000.0
Other Intangible Assets,5701000000.0,6468000000.0,7461000000.0,9115000000.0
Goodwill,19700000000.0,19676000000.0,19770000000.0,20028000000.0
Net PPE,6432000000.0,6209000000.0,5415000000.0,4833000000.0
Accumulated Depreciation,-7185000000.0,-6883000000.0,-6891000000.0,-7051000000.0
Gross PPE,13617000000.0,13092000000.0,12306000000.0,11884000000.0
Other Properties,5022000000.0,4664000000.0,,2117000000.0
Machinery Furniture Equipment,5718000000.0,5369000000.0,9211000000.0,8715000000.0
Land And Improvements,,,,4745000000.0
Properties,2877000000.0,3059000000.0,3095000000.0,3169000000.0
Current Assets,35947000000.0,42351000000.0,45033000000.0,43567000000.0
Other Current Assets,10973000000.0,10827000000.0,11526000000.0,9810000000.0
Assets Held For Sale Current,,,0.0,4852000000.0
Inventory,3622000000.0,4776000000.0,5898000000.0,3403000000.0
Finished Goods,694000000.0,843000000.0,1390000000.0,1008000000.0
Work In Process,607000000.0,708000000.0,855000000.0,677000000.0
Raw Materials,2321000000.0,3225000000.0,3653000000.0,1718000000.0
Receivables,13986000000.0,18141000000.0,18132000000.0,15994000000.0
Other Receivables,,,,5148000000.0
Duefrom Related Parties Current,0.0,378000000.0,131000000.0,115000000.0
Loans Receivable,4643000000.0,5281000000.0,5089000000.0,5148000000.0
Accounts Receivable,9343000000.0,12482000000.0,12912000000.0,10731000000.0
Allowance For Doubtful Accounts Receivable,-71000000.0,-78000000.0,-90000000.0,-99000000.0
Gross Accounts Receivable,9414000000.0,12560000000.0,13002000000.0,10830000000.0
Cash Cash Equivalents And Short Term Investments,7366000000.0,8607000000.0,9477000000.0,9508000000.0
Cash And Cash Equivalents,7366000000.0,8607000000.0,9477000000.0,9508000000.0
