,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,1352874243.0,1351897513.0,1351024943.0,1350509249.0,
Ordinary Shares Number,926290070.0,915013646.0,906091977.0,898068599.0,
Share Issued,2279164313.0,2266911159.0,2257116920.0,2248577848.0,
Net Debt,41026000000.0,43479000000.0,43063000000.0,45053000000.0,
Total Debt,58396000000.0,59935000000.0,54013000000.0,55139000000.0,
Tangible Book Value,-44060000000.0,-48681000000.0,-45189000000.0,-49253000000.0,
Invested Capital,82280000000.0,79080000000.0,72893000000.0,70604000000.0,
Working Capital,1340000000.0,-1214000000.0,-2387000000.0,-4080000000.0,
Net Tangible Assets,-44060000000.0,-48681000000.0,-45189000000.0,-49253000000.0,
Capital Lease Obligations,3423000000.0,3388000000.0,3064000000.0,3436000000.0,
Common Stock Equity,27307000000.0,22533000000.0,21944000000.0,18901000000.0,
Total Capitalization,77191000000.0,72654000000.0,68133000000.0,63818000000.0,
Total Equity Gross Minority Interest,27393000000.0,22613000000.0,22021000000.0,18996000000.0,
Minority Interest,86000000.0,80000000.0,77000000.0,95000000.0,
Stockholders Equity,27307000000.0,22533000000.0,21944000000.0,18901000000.0,
Other Equity Interest,1000000.0,-1000000.0,,-1000000.0,
Gains Losses Not Affecting Retained Earnings,-15269000000.0,-18761000000.0,-16740000000.0,-23234000000.0,
Other Equity Adjustments,-15269000000.0,-18761000000.0,-16740000000.0,-23234000000.0,
Treasury Stock,169968000000.0,169624000000.0,169484000000.0,169392000000.0,
Retained Earnings,151163000000.0,151276000000.0,149825000000.0,154209000000.0,
Capital Stock,61380000000.0,59643000000.0,58343000000.0,57319000000.0,
Common Stock,61380000000.0,59643000000.0,58343000000.0,57319000000.0,
Total Liabilities Net Minority Interest,109782000000.0,112628000000.0,105222000000.0,113005000000.0,
Total Non Current Liabilities Net Minority Interest,76640000000.0,78506000000.0,73717000000.0,79386000000.0,
Other Non Current Liabilities,981000000.0,1164000000.0,1206000000.0,1295000000.0,
Liabilities Heldfor Sale Non Current,,,,0.0,3317000000.0
Derivative Product Liabilities,463000000.0,299000000.0,488000000.0,103000000.0,
Employee Benefits,11151000000.0,12553000000.0,11206000000.0,16480000000.0,
Non Current Pension And Other Postretirement Benefit Plans,10877000000.0,12245000000.0,10903000000.0,16121000000.0,
Non Current Accrued Expenses,204000000.0,206000000.0,243000000.0,253000000.0,
Tradeand Other Payables Non Current,,,90000000.0,72000000.0,253000000.0
Non Current Deferred Liabilities,4437000000.0,4679000000.0,5791000000.0,7533000000.0,
Non Current Deferred Revenue,3622000000.0,3533000000.0,3499000000.0,3577000000.0,
Non Current Deferred Taxes Liabilities,815000000.0,1146000000.0,2292000000.0,3956000000.0,
Long Term Debt And Capital Lease Obligation,52539000000.0,52689000000.0,48379000000.0,47379000000.0,
Long Term Capital Lease Obligation,2655000000.0,2568000000.0,2190000000.0,2462000000.0,
Long Term Debt,49884000000.0,50121000000.0,46189000000.0,44917000000.0,
Long Term Provisions,6865000000.0,6916000000.0,6404000000.0,6271000000.0,
Current Liabilities,33142000000.0,34122000000.0,31505000000.0,33619000000.0,
Other Current Liabilities,-1000000.0,1000000.0,1000000.0,1000000.0,
Current Deferred Liabilities,13907000000.0,13451000000.0,12032000000.0,12518000000.0,
Current Deferred Revenue,13907000000.0,13451000000.0,12032000000.0,12518000000.0,
Current Debt And Capital Lease Obligation,5857000000.0,7246000000.0,5634000000.0,7760000000.0,
Current Capital Lease Obligation,768000000.0,820000000.0,874000000.0,974000000.0,
Current Debt,5089000000.0,6426000000.0,4760000000.0,6786000000.0,
Other Current Borrowings,5089000000.0,6426000000.0,4760000000.0,6786000000.0,
Commercial Paper,,,,,0.0
