,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,4330000000.0,4228000000.0,4137000000.0,4070000000.0,
Share Issued,4330000000.0,4228000000.0,4137000000.0,4070000000.0,
Net Debt,41762000000.0,42187000000.0,30863000000.0,33283000000.0,
Total Debt,50011000000.0,49266000000.0,42007000000.0,38110000000.0,
Tangible Book Value,70886000000.0,73410000000.0,67814000000.0,61158000000.0,
Invested Capital,149281000000.0,154856000000.0,143430000000.0,133501000000.0,
Working Capital,11658000000.0,15216000000.0,18252000000.0,31096000000.0,
Net Tangible Assets,70886000000.0,73410000000.0,67814000000.0,61158000000.0,
Common Stock Equity,99270000000.0,105590000000.0,101423000000.0,95391000000.0,
Total Capitalization,145552000000.0,152568000000.0,139107000000.0,128901000000.0,
Total Equity Gross Minority Interest,105032000000.0,109965000000.0,103286000000.0,95391000000.0,
Minority Interest,5762000000.0,4375000000.0,1863000000.0,0.0,
Stockholders Equity,99270000000.0,105590000000.0,101423000000.0,95391000000.0,
Gains Losses Not Affecting Retained Earnings,-711000000.0,-215000000.0,-562000000.0,-880000000.0,
Other Equity Adjustments,-711000000.0,-215000000.0,-562000000.0,-880000000.0,
Retained Earnings,49032000000.0,69156000000.0,70405000000.0,68265000000.0,
Capital Stock,50949000000.0,36649000000.0,31580000000.0,28006000000.0,
Common Stock,50949000000.0,36649000000.0,31580000000.0,28006000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,91453000000.0,81607000000.0,78817000000.0,73015000000.0,
Total Non Current Liabilities Net Minority Interest,55787000000.0,53554000000.0,46662000000.0,45553000000.0,
Other Non Current Liabilities,9505000000.0,6576000000.0,8978000000.0,5071000000.0,
Preferred Securities Outside Stock Equity,,,,,0.0
Tradeand Other Payables Non Current,,,3796000000.0,4305000000.0,4578000000.0
Non Current Deferred Liabilities,,,202000000.0,2667000000.0,5210000000.0
Non Current Deferred Revenue,,,,185000000.0,1367000000.0
Non Current Deferred Taxes Liabilities,,,202000000.0,2667000000.0,3843000000.0
Long Term Debt And Capital Lease Obligation,46282000000.0,46978000000.0,37684000000.0,33510000000.0,
Long Term Debt,46282000000.0,46978000000.0,37684000000.0,33510000000.0,
Current Liabilities,35666000000.0,28053000000.0,32155000000.0,27462000000.0,
Other Current Liabilities,,-12000000.0,44000000.0,991000000.0,2000000000.0
Current Deferred Liabilities,,2900000000.0,2400000000.0,2800000000.0,2500000000.0
Current Debt And Capital Lease Obligation,3729000000.0,2288000000.0,4323000000.0,4600000000.0,
Current Debt,3729000000.0,2288000000.0,4323000000.0,4600000000.0,
Other Current Borrowings,3729000000.0,2288000000.0,423000000.0,4600000000.0,
Commercial Paper,,,3900000000.0,0.0,
Pensionand Other Post Retirement Benefit Plans Current,3343000000.0,3655000000.0,4084000000.0,4535000000.0,
Payables And Accrued Expenses,28594000000.0,22110000000.0,21304000000.0,14536000000.0,
Current Accrued Expenses,14282000000.0,12425000000.0,9458000000.0,7713000000.0,
Payables,14312000000.0,9685000000.0,11846000000.0,6823000000.0,
Total Tax Payable,1756000000.0,1107000000.0,2251000000.0,1076000000.0,
Income Tax Payable,1756000000.0,1107000000.0,2251000000.0,1076000000.0,
Accounts Payable,12556000000.0,8578000000.0,9595000000.0,5747000000.0,
Total Assets,196485000000.0,191572000000.0,182103000000.0,168406000000.0,
