,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,87895712.0,45281539.0,40467555.0,36389799.0
Ordinary Shares Number,5525600853.0,5587016037.0,5634993604.0,5617496360.0
Share Issued,5613496565.0,5632297576.0,5675461159.0,5653886159.0
Total Debt,5188000000.0,5519000000.0,5662000000.0,6486000000.0
Tangible Book Value,13947000000.0,14403000000.0,10309000000.0,5438000000.0
Invested Capital,24728000000.0,25810000000.0,22013000000.0,18041000000.0
Working Capital,7233000000.0,7492000000.0,7496000000.0,6454000000.0
Net Tangible Assets,13947000000.0,14403000000.0,10309000000.0,5438000000.0
Capital Lease Obligations,997000000.0,1042000000.0,1009000000.0,910000000.0
Common Stock Equity,20537000000.0,21333000000.0,17360000000.0,12465000000.0
Total Capitalization,24174000000.0,25582000000.0,21897000000.0,17480000000.0
Total Equity Gross Minority Interest,20628000000.0,21426000000.0,17462000000.0,12545000000.0
Minority Interest,91000000.0,93000000.0,102000000.0,80000000.0
Stockholders Equity,20537000000.0,21333000000.0,17360000000.0,12465000000.0
Gains Losses Not Affecting Retained Earnings,18611000000.0,19561000000.0,19549000000.0,16271000000.0
Other Equity Adjustments,15255000000.0,15487000000.0,15726000000.0,15656000000.0
Foreign Currency Translation Adjustments,-249000000.0,169000000.0,-396000000.0,-1295000000.0
Unrealized Gain Loss,3605000000.0,3905000000.0,4219000000.0,1910000000.0
Treasury Stock,352000000.0,352000000.0,352000000.0,352000000.0
Retained Earnings,1404000000.0,1375000000.0,-2537000000.0,-4143000000.0
Additional Paid In Capital,628000000.0,503000000.0,454000000.0,443000000.0
Capital Stock,246000000.0,246000000.0,246000000.0,246000000.0
Common Stock,246000000.0,246000000.0,246000000.0,246000000.0
Total Liabilities Net Minority Interest,19232000000.0,21517000000.0,22587000000.0,23646000000.0
Total Non Current Liabilities Net Minority Interest,8299000000.0,8743000000.0,10486000000.0,11885000000.0
Other Non Current Liabilities,69000000.0,57000000.0,85000000.0,36000000.0
Employee Benefits,2299000000.0,2459000000.0,3408000000.0,4046000000.0
Non Current Pension And Other Postretirement Benefit Plans,2299000000.0,2459000000.0,3408000000.0,4046000000.0
Non Current Accrued Expenses,42000000.0,46000000.0,46000000.0,45000000.0
Non Current Deferred Liabilities,935000000.0,452000000.0,941000000.0,1286000000.0
Non Current Deferred Revenue,210000000.0,120000000.0,659000000.0,1026000000.0
Non Current Deferred Taxes Liabilities,725000000.0,332000000.0,282000000.0,260000000.0
Long Term Debt And Capital Lease Obligation,4436000000.0,5107000000.0,5361000000.0,5736000000.0
Long Term Capital Lease Obligation,799000000.0,858000000.0,824000000.0,721000000.0
Long Term Debt,3637000000.0,4249000000.0,4537000000.0,5015000000.0
Long Term Provisions,518000000.0,622000000.0,645000000.0,736000000.0
Current Liabilities,10933000000.0,12774000000.0,12101000000.0,11761000000.0
Other Current Liabilities,1309000000.0,1655000000.0,1422000000.0,1383000000.0
Current Deferred Liabilities,2157000000.0,1977000000.0,2448000000.0,2549000000.0
Current Deferred Revenue,2157000000.0,1977000000.0,2448000000.0,2549000000.0
Current Debt And Capital Lease Obligation,752000000.0,412000000.0,301000000.0,750000000.0
Current Capital Lease Obligation,198000000.0,184000000.0,185000000.0,189000000.0
Current Debt,554000000.0,228000000.0,116000000.0,561000000.0
Other Current Borrowings,554000000.0,228000000.0,116000000.0,561000000.0
Current Provisions,744000000.0,813000000.0,924000000.0,796000000.0
Payables And Accrued Expenses,5971000000.0,7917000000.0,7006000000.0,6283000000.0
Current Accrued Expenses,2022000000.0,2674000000.0,2776000000.0,2584000000.0
Payables,3949000000.0,5243000000.0,4230000000.0,3699000000.0
Total Tax Payable,526000000.0,513000000.0,551000000.0,525000000.0
Income Tax Payable,203000000.0,185000000.0,202000000.0,188000000.0
Accounts Payable,3423000000.0,4730000000.0,3679000000.0,3174000000.0
Total Assets,39860000000.0,42943000000.0,40049000000.0,36191000000.0
Total Non Current Assets,21694000000.0,22677000000.0,20452000000.0,17976000000.0
Other Non Current Assets,41000000.0,79000000.0,60000000.0,41000000.0
Defined Pension Benefit,6258000000.0,6754000000.0,7740000000.0,5038000000.0
Non Current Prepaid Assets,,45000000.0,47000000.0,47000000.0
Non Current Deferred Assets,3873000000.0,3834000000.0,1272000000.0,1822000000.0
Non Current Deferred Taxes Assets,3873000000.0,3834000000.0,1272000000.0,1822000000.0
Non Current Accounts Receivable,172000000.0,160000000.0,148000000.0,129000000.0
Investments And Advances,1903000000.0,1976000000.0,1326000000.0,1284000000.0
Investmentin Financial Assets,1815000000.0,1777000000.0,1083000000.0,1051000000.0
Available For Sale Securities,1815000000.0,1777000000.0,325000000.0,306000000.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,,828000000.0,758000000.0,745000000.0
Long Term Equity Investment,88000000.0,199000000.0,243000000.0,233000000.0
Goodwill And Other Intangible Assets,6590000000.0,6930000000.0,7051000000.0,7027000000.0
