,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Treasury Shares Number,134451510.0,134460640.0,125470220.0,125462330.0
Ordinary Shares Number,1164238490.0,1164229360.0,1173219780.0,1191227670.0
Share Issued,1298690000.0,1298690000.0,1298690000.0,1316690000.0
Tangible Book Value,2587356000000.0,2247639000000.0,2051727000000.0,1859448000000.0
Invested Capital,2603761000000.0,2266234000000.0,2069042000000.0,1874370000000.0
Working Capital,2094026000000.0,1781033000000.0,1585486000000.0,1494044000000.0
Net Tangible Assets,2587356000000.0,2247639000000.0,2051727000000.0,1859448000000.0
Common Stock Equity,2603761000000.0,2266234000000.0,2069042000000.0,1874370000000.0
Total Capitalization,2603761000000.0,2266234000000.0,2069042000000.0,1874370000000.0
Total Equity Gross Minority Interest,2604998000000.0,2266466000000.0,2069308000000.0,1874613000000.0
Minority Interest,1237000000.0,232000000.0,266000000.0,243000000.0
Stockholders Equity,2603761000000.0,2266234000000.0,2069042000000.0,1874370000000.0
Treasury Stock,271033000000.0,271049000000.0,220343000000.0,156851000000.0
Retained Earnings,2646967000000.0,2392704000000.0,2198706000000.0,1993325000000.0
Additional Paid In Capital,15120000000.0,15079000000.0,15041000000.0,15043000000.0
Capital Stock,10065000000.0,10065000000.0,10065000000.0,10065000000.0
Common Stock,10065000000.0,10065000000.0,10065000000.0,10065000000.0
Total Liabilities Net Minority Interest,546396000000.0,587818000000.0,593076000000.0,572305000000.0
Total Non Current Liabilities Net Minority Interest,67120000000.0,54338000000.0,52350000000.0,45974000000.0
Other Non Current Liabilities,43045000000.0,31121000000.0,27287000000.0,24973000000.0
Non Current Pension And Other Postretirement Benefit Plans,23955000000.0,23084000000.0,25063000000.0,21001000000.0
Long Term Provisions,120000000.0,133000000.0,,
Current Liabilities,479276000000.0,533480000000.0,540726000000.0,526331000000.0
Other Current Liabilities,157703000000.0,136736000000.0,153698000000.0,249120000000.0
Pensionand Other Post Retirement Benefit Plans Current,4389000000.0,4219000000.0,5459000000.0,5227000000.0
Payables,152680000000.0,231767000000.0,250430000000.0,271984000000.0
Total Tax Payable,94596000000.0,82550000000.0,99520000000.0,157307000000.0
Accounts Payable,58084000000.0,149217000000.0,150910000000.0,114677000000.0
Total Assets,3151394000000.0,2854284000000.0,2662384000000.0,2446918000000.0
Total Non Current Assets,578089000000.0,539768000000.0,536169000000.0,426541000000.0
Other Non Current Assets,43110000000.0,32830000000.0,24434000000.0,22194000000.0
Defined Pension Benefit,11584000000.0,8911000000.0,8597000000.0,8205000000.0
Non Current Deferred Taxes Assets,107852000000.0,103670000000.0,87996000000.0,82819000000.0
Investmentin Financial Assets,290620000000.0,276253000000.0,312663000000.0,214832000000.0
Available For Sale Securities,290620000000.0,276253000000.0,312663000000.0,214832000000.0
Goodwill And Other Intangible Assets,16405000000.0,18595000000.0,17315000000.0,14922000000.0
Other Intangible Assets,16405000000.0,18595000000.0,17315000000.0,14922000000.0
Net PPE,108518000000.0,99509000000.0,85164000000.0,83569000000.0
Gross PPE,108516000000.0,99506000000.0,85163000000.0,83567000000.0
Construction In Progress,5368000000.0,6311000000.0,1280000000.0,178000000.0
Machinery Furniture Equipment,7711000000.0,6749000000.0,5975000000.0,6374000000.0
Buildings And Improvements,52621000000.0,45451000000.0,42571000000.0,42230000000.0
Land And Improvements,42816000000.0,40995000000.0,35337000000.0,34785000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2573302000000.0,2314513000000.0,2126212000000.0,2020375000000.0
Other Current Assets,71002000000.0,56588000000.0,70051000000.0,50599000000.0
Inventory,155987000000.0,258628000000.0,204183000000.0,86817000000.0
Accounts Receivable,93608000000.0,119932000000.0,141087000000.0,140570000000.0
Gross Accounts Receivable,93608000000.0,119932000000.0,141087000000.0,140570000000.0
Cash Cash Equivalents And Short Term Investments,2252705000000.0,1879365000000.0,1710891000000.0,1742389000000.0
Other Short Term Investments,768355000000.0,615699000000.0,504385000000.0,557238000000.0
Cash And Cash Equivalents,1484350000000.0,1263666000000.0,1206506000000.0,1185151000000.0
