,2024-05-31,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Ordinary Shares Number,2755000000.0,2713000000.0,2665000000.0,2814000000.0,
Share Issued,2755000000.0,2713000000.0,2665000000.0,2814000000.0,
Net Debt,76415000000.0,80716000000.0,54499000000.0,54147000000.0,
Total Debt,86869000000.0,90481000000.0,75882000000.0,84245000000.0,
Tangible Book Value,-60416000000.0,-71025000000.0,-51471000000.0,-41127000000.0,
Invested Capital,95573000000.0,91554000000.0,69662000000.0,89483000000.0,
Working Capital,-8990000000.0,-2086000000.0,12122000000.0,31403000000.0,
Net Tangible Assets,-60416000000.0,-71025000000.0,-51471000000.0,-41127000000.0,
Common Stock Equity,8704000000.0,1073000000.0,-6220000000.0,5238000000.0,
Total Capitalization,84968000000.0,87493000000.0,65913000000.0,81233000000.0,
Total Equity Gross Minority Interest,9239000000.0,1556000000.0,-5768000000.0,5952000000.0,
Minority Interest,535000000.0,483000000.0,452000000.0,714000000.0,
Stockholders Equity,8704000000.0,1073000000.0,-6220000000.0,5238000000.0,
Gains Losses Not Affecting Retained Earnings,-1432000000.0,-1522000000.0,-1692000000.0,-1175000000.0,
Other Equity Adjustments,-1432000000.0,-1522000000.0,-1692000000.0,-1175000000.0,
Retained Earnings,-22628000000.0,-27620000000.0,-31336000000.0,-20120000000.0,
Capital Stock,32764000000.0,30215000000.0,26808000000.0,26533000000.0,
Common Stock,32764000000.0,30215000000.0,26808000000.0,26533000000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,131737000000.0,132828000000.0,115065000000.0,125155000000.0,
Total Non Current Liabilities Net Minority Interest,100193000000.0,109738000000.0,95554000000.0,100991000000.0,
Other Non Current Liabilities,9420000000.0,6469000000.0,5203000000.0,4787000000.0,
Derivative Product Liabilities,,-52000000.0,-23000000.0,,
Tradeand Other Payables Non Current,10817000000.0,11077000000.0,12210000000.0,12345000000.0,
Non Current Deferred Liabilities,3692000000.0,5772000000.0,6031000000.0,7864000000.0,
Non Current Deferred Taxes Liabilities,3692000000.0,5772000000.0,6031000000.0,7864000000.0,
Long Term Debt And Capital Lease Obligation,76264000000.0,86420000000.0,72133000000.0,75995000000.0,
Long Term Debt,76264000000.0,86420000000.0,72133000000.0,75995000000.0,
Current Liabilities,31544000000.0,23090000000.0,19511000000.0,24164000000.0,
Other Current Liabilities,7353000000.0,6802000000.0,4144000000.0,4377000000.0,
Current Deferred Liabilities,9313000000.0,8970000000.0,8357000000.0,8775000000.0,
Current Deferred Revenue,9313000000.0,8970000000.0,8357000000.0,8775000000.0,
Current Debt And Capital Lease Obligation,10605000000.0,4061000000.0,3749000000.0,8250000000.0,
Current Debt,10605000000.0,4061000000.0,3749000000.0,8250000000.0,
Other Current Borrowings,,4061000000.0,3749000000.0,8250000000.0,2371000000.0
Pensionand Other Post Retirement Benefit Plans Current,1916000000.0,2053000000.0,1944000000.0,2017000000.0,
Payables And Accrued Expenses,2357000000.0,1204000000.0,1317000000.0,745000000.0,
Payables,2357000000.0,1204000000.0,1317000000.0,745000000.0,
Accounts Payable,2357000000.0,1204000000.0,1317000000.0,745000000.0,
Total Assets,140976000000.0,134384000000.0,109297000000.0,131107000000.0,
Total Non Current Assets,118422000000.0,113380000000.0,77664000000.0,75540000000.0,
Other Non Current Assets,15493000000.0,11987000000.0,9915000000.0,8490000000.0,
Non Current Deferred Assets,12273000000.0,12226000000.0,12782000000.0,13636000000.0,
Non Current Deferred Taxes Assets,12273000000.0,12226000000.0,12782000000.0,13636000000.0,
Goodwill And Other Intangible Assets,69120000000.0,72098000000.0,45251000000.0,46365000000.0,
Other Intangible Assets,6890000000.0,9837000000.0,1440000000.0,2430000000.0,
Goodwill,62230000000.0,62261000000.0,43811000000.0,43935000000.0,
Net PPE,21536000000.0,17069000000.0,9716000000.0,7049000000.0,
Accumulated Depreciation,-13282000000.0,-11605000000.0,-9958000000.0,-8751000000.0,
Gross PPE,34818000000.0,28674000000.0,19674000000.0,15800000000.0,
Construction In Progress,5634000000.0,3846000000.0,512000000.0,233000000.0,
Machinery Furniture Equipment,21452000000.0,17705000000.0,13267000000.0,9962000000.0,
Buildings And Improvements,6493000000.0,5880000000.0,4729000000.0,4734000000.0,
Land And Improvements,1239000000.0,1243000000.0,1166000000.0,871000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,22554000000.0,21004000000.0,31633000000.0,55567000000.0,
Other Current Assets,4019000000.0,3902000000.0,3778000000.0,3604000000.0,
Prepaid Assets,,,3778000000.0,3604000000.0,3532000000.0
Receivables,7874000000.0,6915000000.0,5953000000.0,5409000000.0,
Accounts Receivable,7874000000.0,6915000000.0,5953000000.0,5409000000.0,
Allowance For Doubtful Accounts Receivable,-485000000.0,-428000000.0,-362000000.0,-373000000.0,
Gross Accounts Receivable,8359000000.0,7343000000.0,6315000000.0,5782000000.0,
Cash Cash Equivalents And Short Term Investments,10661000000.0,10187000000.0,21902000000.0,46554000000.0,
Other Short Term Investments,207000000.0,422000000.0,519000000.0,16456000000.0,
Cash And Cash Equivalents,10454000000.0,9765000000.0,21383000000.0,30098000000.0,
