,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,,0.0,0.0,0.0,0.0
Preferred Shares Number,822886700.0,822886700.0,822886700.0,822886700.0,
Ordinary Shares Number,6792669250.0,5969782550.0,5969782550.0,5969782550.0,
Share Issued,6792669250.0,5969782550.0,5969782550.0,5969782550.0,
Total Debt,19330184000000.0,12685944000000.0,10333242000000.0,18392149000000.0,
Tangible Book Value,367829570000000.0,330372446000000.0,324848921000000.0,275881986000000.0,
Invested Capital,405868471000000.0,361076963000000.0,350999072000000.0,310833821000000.0,
Working Capital,133735967000000.0,120217105000000.0,140125729000000.0,130046052000000.0,
Net Tangible Assets,367949037000000.0,330491913000000.0,324968388000000.0,276001453000000.0,
Capital Lease Obligations,5029849000000.0,4723289000000.0,4400845000000.0,3676558000000.0,
Common Stock Equity,391568136000000.0,353114308000000.0,345066675000000.0,296118230000000.0,
Preferred Stock Equity,119467000000.0,119467000000.0,119467000000.0,119467000000.0,
Total Capitalization,391708670000000.0,353771393000000.0,345756081000000.0,296747429000000.0,
Total Equity Gross Minority Interest,402192070000000.0,363677865000000.0,354749604000000.0,304899931000000.0,
Minority Interest,10504467000000.0,10444090000000.0,9563462000000.0,8662234000000.0,
Stockholders Equity,391687603000000.0,353233775000000.0,345186142000000.0,296237697000000.0,
Other Equity Interest,,,,,26726000000.0
Treasury Stock,1811775000000.0,,,,
Retained Earnings,370513188000000.0,346652238000000.0,337946407000000.0,293064763000000.0,
Additional Paid In Capital,4403893000000.0,4403893000000.0,4403893000000.0,4403893000000.0,
Capital Stock,897514000000.0,897514000000.0,897514000000.0,897514000000.0,
Common Stock,778047000000.0,778047000000.0,778047000000.0,778047000000.0,
Preferred Stock,119467000000.0,119467000000.0,119467000000.0,119467000000.0,
Total Liabilities Net Minority Interest,112339878000000.0,92228115000000.0,93674903000000.0,121721227000000.0,
Total Non Current Liabilities Net Minority Interest,19013579000000.0,16508663000000.0,15330051000000.0,33604094000000.0,
Other Non Current Liabilities,5383049000000.0,2802356000000.0,1171761000000.0,1267183000000.0,
Non Current Pension And Other Postretirement Benefit Plans,521410000000.0,456557000000.0,268370000000.0,465884000000.0,
Tradeand Other Payables Non Current,5510455000000.0,5488283000000.0,2753305000000.0,2991440000000.0,
Non Current Deferred Taxes Liabilities,528231000000.0,620549000000.0,5111332000000.0,23198205000000.0,
Long Term Debt And Capital Lease Obligation,3950390000000.0,4262468000000.0,4096765000000.0,3374388000000.0,
Long Term Capital Lease Obligation,3929323000000.0,3724850000000.0,3526826000000.0,2864656000000.0,
Long Term Debt,21067000000.0,537618000000.0,569939000000.0,509732000000.0,
Long Term Provisions,3120044000000.0,2878450000000.0,1928518000000.0,2306994000000.0,
Current Liabilities,93326299000000.0,75719452000000.0,78344852000000.0,88117133000000.0,
Other Current Liabilities,2025833000000.0,2308472000000.0,1951354000000.0,1492239000000.0,
Current Debt And Capital Lease Obligation,15379794000000.0,8423476000000.0,6236477000000.0,15017761000000.0,
Current Capital Lease Obligation,1100526000000.0,998439000000.0,874019000000.0,811902000000.0,
Current Debt,14279268000000.0,7425037000000.0,5362458000000.0,14205859000000.0,
Current Provisions,8216469000000.0,6524876000000.0,5844907000000.0,5372872000000.0,
Payables,35257713000000.0,30002658000000.0,32487449000000.0,35787366000000.0,
Other Payable,18547365000000.0,15324119000000.0,17592366000000.0,15584866000000.0,
Total Tax Payable,4340171000000.0,3358715000000.0,4250397000000.0,6749149000000.0,
Accounts Payable,12370177000000.0,11319824000000.0,10644686000000.0,13453351000000.0,
Total Assets,514531948000000.0,455905980000000.0,448424507000000.0,426621158000000.0,
Total Non Current Assets,287469682000000.0,259969423000000.0,229953926000000.0,208457973000000.0,
Other Non Current Assets,15299602000000.0,13390764000000.0,6012671000000.0,5571099000000.0,
Defined Pension Benefit,3089571000000.0,4905219000000.0,5851972000000.0,2809590000000.0,
Non Current Deferred Taxes Assets,14236468000000.0,10211797000000.0,5101318000000.0,4261214000000.0,
Investmentin Financial Assets,11756681000000.0,8912691000000.0,12802480000000.0,15491183000000.0,
Available For Sale Securities,10580932000000.0,7481297000000.0,11397012000000.0,13965839000000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1175749000000.0,1431394000000.0,1405468000000.0,1525344000000.0,
Long Term Equity Investment,12592117000000.0,11767444000000.0,10893869000000.0,8932251000000.0,
Investmentsin Joint Venturesat Cost,,,,,185491000000.0
Investments In Other Ventures Under Equity Method,12592117000000.0,11767444000000.0,10893869000000.0,8932251000000.0,
Investmentsin Associatesat Cost,,,,,7891288000000.0
Goodwill And Other Intangible Assets,23738566000000.0,22741862000000.0,20217754000000.0,20236244000000.0,
Other Intangible Assets,16570025000000.0,16284243000000.0,14203332000000.0,14391985000000.0,
Goodwill,7168541000000.0,6457619000000.0,6014422000000.0,5844259000000.0,
Net PPE,205945209000000.0,187256262000000.0,168045388000000.0,149928539000000.0,
Accumulated Depreciation,-329150863000000.0,-285932126000000.0,-259549670000000.0,-227543455000000.0,
Gross PPE,535096072000000.0,473188388000000.0,427595058000000.0,377471994000000.0,
Construction In Progress,53117255000000.0,46720328000000.0,33607564000000.0,18009324000000.0,
Other Properties,15852084000000.0,14058654000000.0,13248490000000.0,11958070000000.0,
Machinery Furniture Equipment,373276338000000.0,328561492000000.0,303000627000000.0,274909571000000.0,
Buildings And Improvements,82415394000000.0,73689951000000.0,67713808000000.0,62651459000000.0,
Land And Improvements,10435001000000.0,10157963000000.0,10024569000000.0,9943570000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,227062266000000.0,195936557000000.0,218470581000000.0,218163185000000.0,
Other Current Assets,6046740000000.0,5038838000000.0,6316834000000.0,5081665000000.0,
Assets Held For Sale Current,,217864000000.0,,,929432000000.0
Prepaid Assets,3362824000000.0,3366130000000.0,2867823000000.0,2336252000000.0,
Inventory,51754865000000.0,51625874000000.0,52187866000000.0,41384404000000.0,
Inventories Adjustments Allowances,-4982999000000.0,-7396152000000.0,-4319092000000.0,-1892979000000.0,
Finished Goods,16487354000000.0,17297425000000.0,18625019000000.0,14445566000000.0,
Work In Process,24808183000000.0,26501664000000.0,21612965000000.0,13967331000000.0,
