,2024-07-31,2023-07-31,2022-07-31,2021-07-31,2020-07-31
Free Cash Flow,10210000000.0,19037000000.0,12749000000.0,14762000000.0,
Repurchase Of Capital Stock,-6779000000.0,-4890000000.0,-8381000000.0,-3513000000.0,
Repayment Of Debt,-12966000000.0,-500000000.0,-3550000000.0,-3000000000.0,
Issuance Of Debt,31818000000.0,0.0,1049000000.0,0.0,
Issuance Of Capital Stock,714000000.0,700000000.0,660000000.0,643000000.0,
Capital Expenditure,-670000000.0,-849000000.0,-477000000.0,-692000000.0,
Interest Paid Supplemental Data,583000000.0,376000000.0,355000000.0,438000000.0,
Income Tax Paid Supplemental Data,7426000000.0,3571000000.0,3663000000.0,3604000000.0,
End Cash Position,8842000000.0,11627000000.0,8579000000.0,9942000000.0,
Beginning Cash Position,11627000000.0,8579000000.0,9942000000.0,11812000000.0,
Effect Of Exchange Rate Changes,-31000000.0,-105000000.0,-180000000.0,58000000.0,
Changes In Cash,-2754000000.0,3153000000.0,-1183000000.0,-1928000000.0,
Financing Cash Flow,6844000000.0,-11626000000.0,-15962000000.0,-12097000000.0,
Cash Flow From Continuing Financing Activities,6844000000.0,-11626000000.0,-15962000000.0,-12097000000.0,
Net Other Financing Charges,-37000000.0,-32000000.0,-122000000.0,-59000000.0,
Cash Dividends Paid,-6384000000.0,-6302000000.0,-6224000000.0,-6163000000.0,
Common Stock Dividend Paid,-6384000000.0,-6302000000.0,-6224000000.0,-6163000000.0,
Net Common Stock Issuance,-6065000000.0,-4190000000.0,-7721000000.0,-2870000000.0,
Common Stock Payments,-6779000000.0,-4890000000.0,-8381000000.0,-3513000000.0,
Common Stock Issuance,714000000.0,700000000.0,660000000.0,643000000.0,
Net Issuance Payments Of Debt,19330000000.0,-1102000000.0,-1895000000.0,-3005000000.0,
Net Short Term Debt Issuance,478000000.0,-602000000.0,606000000.0,-5000000.0,
Net Long Term Debt Issuance,18852000000.0,-500000000.0,-2501000000.0,-3000000000.0,
Long Term Debt Payments,-12966000000.0,-500000000.0,-3550000000.0,-3000000000.0,
Long Term Debt Issuance,31818000000.0,0.0,1049000000.0,0.0,
Investing Cash Flow,-20478000000.0,-5107000000.0,1553000000.0,-5285000000.0,
Cash Flow From Continuing Investing Activities,-20478000000.0,-5107000000.0,1553000000.0,-5285000000.0,
Net Other Investing Changes,-5000000.0,-23000000.0,76000000.0,-56000000.0,
Net Investment Purchase And Sale,6191000000.0,-3934000000.0,2327000000.0,2473000000.0,
Sale Of Investment,10705000000.0,7122000000.0,8583000000.0,11976000000.0,
Purchase Of Investment,-4514000000.0,-11056000000.0,-6256000000.0,-9503000000.0,
Net Business Purchase And Sale,-25994000000.0,-301000000.0,-373000000.0,-7038000000.0,
Sale Of Business,,,,194000000.0,224000000.0
Purchase Of Business,-25994000000.0,-301000000.0,-373000000.0,-7038000000.0,
Net PPE Purchase And Sale,-670000000.0,-849000000.0,-477000000.0,-664000000.0,
Sale Of PPE,,3000000.0,91000000.0,28000000.0,179000000.0
Purchase Of PPE,-670000000.0,-849000000.0,-477000000.0,-692000000.0,
Operating Cash Flow,10880000000.0,19886000000.0,13226000000.0,15454000000.0,
Cash Flow From Continuing Operating Activities,10880000000.0,19886000000.0,13226000000.0,15454000000.0,
Change In Working Capital,-4298000000.0,5042000000.0,-1722000000.0,1984000000.0,
Change In Other Working Capital,-3319000000.0,3544000000.0,638000000.0,1654000000.0,
Change In Other Current Liabilities,416000000.0,48000000.0,535000000.0,-46000000.0,
Change In Other Current Assets,-671000000.0,5000000.0,-1615000000.0,-797000000.0,
Change In Payables And Accrued Expense,-786000000.0,678000000.0,-482000000.0,-53000000.0,
Change In Accrued Expense,-696000000.0,651000000.0,-427000000.0,,
Change In Payable,-90000000.0,27000000.0,-55000000.0,-53000000.0,
Change In Account Payable,-90000000.0,27000000.0,-55000000.0,-53000000.0,
Change In Tax Payable,,,,,-322000000.0
Change In Income Tax Payable,,,,,-322000000.0
Change In Inventory,275000000.0,-1069000000.0,-1030000000.0,-244000000.0,
Change In Receivables,-213000000.0,1836000000.0,232000000.0,1470000000.0,
Changes In Account Receivables,-289000000.0,734000000.0,-1009000000.0,-107000000.0,
Stock Based Compensation,3074000000.0,2353000000.0,1886000000.0,1761000000.0,
Provisionand Write Offof Assets,34000000.0,31000000.0,55000000.0,-6000000.0,
Deferred Tax,-972000000.0,-2085000000.0,-309000000.0,-384000000.0,
Deferred Income Tax,-972000000.0,-2085000000.0,-309000000.0,-384000000.0,
Depreciation Amortization Depletion,2507000000.0,1726000000.0,1957000000.0,1862000000.0,
Depreciation And Amortization,2507000000.0,1726000000.0,1957000000.0,1862000000.0,
Depreciation,2507000000.0,1726000000.0,1957000000.0,1862000000.0,
Operating Gains Losses,215000000.0,206000000.0,-453000000.0,-354000000.0,
Gain Loss On Investment Securities,,,,,-138000000.0
Gain Loss On Sale Of Business,215000000.0,206000000.0,-453000000.0,-354000000.0,
Net Income From Continuing Operations,10320000000.0,12613000000.0,11812000000.0,10591000000.0,
