,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Free Cash Flow,5920000000.0,562000000.0,7511000000.0,9325000000.0
Repurchase Of Capital Stock,-2452000000.0,-3281000000.0,-1838000000.0,-1604000000.0
Repayment Of Debt,-11246000000.0,-9825000000.0,-26723000000.0,-20919000000.0
Issuance Of Debt,7775000000.0,12479000000.0,20425000000.0,16391000000.0
Issuance Of Capital Stock,10000000.0,5000000.0,334000000.0,452000000.0
Capital Expenditure,-2756000000.0,-3003000000.0,-2796000000.0,-2082000000.0
Interest Paid Supplemental Data,1438000000.0,1169000000.0,1825000000.0,2279000000.0
Income Tax Paid Supplemental Data,1379000000.0,1208000000.0,1257000000.0,1421000000.0
End Cash Position,7507000000.0,8894000000.0,10082000000.0,15184000000.0
Beginning Cash Position,8894000000.0,10082000000.0,15184000000.0,10151000000.0
Effect Of Exchange Rate Changes,-186000000.0,-104000000.0,-106000000.0,36000000.0
Changes In Cash,-1201000000.0,-1084000000.0,-4996000000.0,4997000000.0
Financing Cash Flow,-7094000000.0,-1625000000.0,-16609000000.0,-5950000000.0
Cash Flow From Continuing Financing Activities,-7094000000.0,-1625000000.0,-16609000000.0,-5950000000.0
Net Other Financing Charges,-109000000.0,-39000000.0,-8807000000.0,-270000000.0
Cash Dividends Paid,-1072000000.0,-964000000.0,0.0,0.0
Common Stock Dividend Paid,-1072000000.0,-964000000.0,0.0,0.0
Net Common Stock Issuance,-2442000000.0,-3276000000.0,-1504000000.0,-1152000000.0
Common Stock Payments,-2452000000.0,-3281000000.0,-1838000000.0,-1604000000.0
Common Stock Issuance,10000000.0,5000000.0,334000000.0,452000000.0
Net Issuance Payments Of Debt,-3471000000.0,2654000000.0,-6298000000.0,-4528000000.0
Net Long Term Debt Issuance,-3471000000.0,2654000000.0,-6298000000.0,-4528000000.0
Long Term Debt Payments,-11246000000.0,-9825000000.0,-26723000000.0,-20919000000.0
Long Term Debt Issuance,7775000000.0,12479000000.0,20425000000.0,16391000000.0
Investing Cash Flow,-2783000000.0,-3024000000.0,1306000000.0,-460000000.0
Cash Flow From Continuing Investing Activities,-2783000000.0,-3024000000.0,1306000000.0,-460000000.0
Net Other Investing Changes,45000000.0,41000000.0,62000000.0,28000000.0
Net Investment Purchase And Sale,54000000.0,8000000.0,99000000.0,-169000000.0
Sale Of Investment,226000000.0,116000000.0,513000000.0,169000000.0
Purchase Of Investment,-172000000.0,-108000000.0,-414000000.0,-338000000.0
Net Business Purchase And Sale,-126000000.0,-70000000.0,3941000000.0,1763000000.0
Sale Of Business,0.0,0.0,3957000000.0,2187000000.0
Purchase Of Business,-126000000.0,-70000000.0,-16000000.0,-424000000.0
Capital Expenditure Reported,-2756000000.0,-3003000000.0,-2796000000.0,-2082000000.0
Operating Cash Flow,8676000000.0,3565000000.0,10307000000.0,11407000000.0
Cash Flow From Continuing Operating Activities,8676000000.0,3565000000.0,10307000000.0,11407000000.0
Change In Working Capital,782000000.0,-3188000000.0,1922000000.0,1390000000.0
Change In Other Working Capital,-3144000000.0,4831000000.0,1128000000.0,1159000000.0
Change In Payables And Accrued Expense,-335000000.0,-8546000000.0,5742000000.0,1598000000.0
Change In Payable,-335000000.0,-8546000000.0,5742000000.0,1598000000.0
Change In Account Payable,-335000000.0,-8546000000.0,5742000000.0,1598000000.0
Change In Inventory,975000000.0,875000000.0,-2514000000.0,-243000000.0
Change In Receivables,3286000000.0,-348000000.0,-2434000000.0,-1124000000.0
Changes In Account Receivables,2977000000.0,113000000.0,-2193000000.0,-396000000.0
Other Non Cash Items,609000000.0,961000000.0,-3130000000.0,-88000000.0
Stock Based Compensation,878000000.0,931000000.0,1622000000.0,1609000000.0
Deferred Tax,-91000000.0,-717000000.0,-365000000.0,-399000000.0
Deferred Income Tax,-91000000.0,-717000000.0,-365000000.0,-399000000.0
Depreciation Amortization Depletion,3303000000.0,3156000000.0,4551000000.0,5390000000.0
Depreciation And Amortization,3303000000.0,3156000000.0,4551000000.0,5390000000.0
Net Income From Continuing Operations,3195000000.0,2422000000.0,5707000000.0,3505000000.0
