,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,11760000000.0,12121000000.0,8463000000.0,10028000000.0,
Repurchase Of Capital Stock,-651000000.0,-402000000.0,-407000000.0,-319000000.0,
Repayment Of Debt,-6615000000.0,-5082000000.0,-6800000000.0,-8597000000.0,
Issuance Of Debt,5705000000.0,9586000000.0,7804000000.0,522000000.0,
Issuance Of Capital Stock,745000000.0,414000000.0,279000000.0,,
Capital Expenditure,-1685000000.0,-1810000000.0,-1972000000.0,-2768000000.0,
Interest Paid Supplemental Data,1978000000.0,1668000000.0,1401000000.0,1512000000.0,
Income Tax Paid Supplemental Data,1723000000.0,1564000000.0,1865000000.0,2103000000.0,
End Cash Position,14160000000.0,13089000000.0,7988000000.0,6957000000.0,
Beginning Cash Position,13089000000.0,7988000000.0,6957000000.0,13675000000.0,
Effect Of Exchange Rate Changes,-359000000.0,9000000.0,-244000000.0,-185000000.0,
Changes In Cash,1430000000.0,5092000000.0,1275000000.0,-6533000000.0,
Financing Cash Flow,-7079000000.0,-1769000000.0,-4958000000.0,-13354000000.0,
Cash Flow From Continuing Financing Activities,-7078000000.0,-1770000000.0,-4958000000.0,-13354000000.0,
Net Other Financing Charges,-146000000.0,-238000000.0,-103000000.0,949000000.0,
Cash Dividends Paid,-6147000000.0,-6040000000.0,-5948000000.0,-5869000000.0,
Common Stock Dividend Paid,-6147000000.0,-6040000000.0,-5948000000.0,-5869000000.0,
Net Common Stock Issuance,94000000.0,12000000.0,-128000000.0,-319000000.0,
Common Stock Payments,-651000000.0,-402000000.0,-407000000.0,-319000000.0,
Common Stock Issuance,745000000.0,414000000.0,279000000.0,,
Net Issuance Payments Of Debt,-880000000.0,4497000000.0,1221000000.0,-8115000000.0,
Net Short Term Debt Issuance,30000000.0,-7000000.0,217000000.0,-40000000.0,
Net Long Term Debt Issuance,-910000000.0,4504000000.0,1004000000.0,-8075000000.0,
Long Term Debt Payments,-6615000000.0,-5082000000.0,-6800000000.0,-8597000000.0,
Long Term Debt Issuance,5705000000.0,9586000000.0,7804000000.0,522000000.0,
Investing Cash Flow,-4937000000.0,-7070000000.0,-4202000000.0,-5975000000.0,
Cash Flow From Continuing Investing Activities,-4937000000.0,-7071000000.0,-4202000000.0,-5974000000.0,
Net Other Investing Changes,,1000000.0,,-1000000.0,475000000.0
Net Investment Purchase And Sale,-1218000000.0,-496000000.0,-1265000000.0,-414000000.0,
Sale Of Investment,6544000000.0,10647000000.0,4665000000.0,3147000000.0,
Purchase Of Investment,-7762000000.0,-11143000000.0,-5930000000.0,-3561000000.0,
Net Business Purchase And Sale,-2591000000.0,-5086000000.0,-1076000000.0,-3179000000.0,
Sale Of Business,698000000.0,,1272000000.0,114000000.0,503000000.0
Purchase Of Business,-3289000000.0,-5086000000.0,-2348000000.0,-3293000000.0,
Net Intangibles Purchase And Sale,-637000000.0,-565000000.0,-626000000.0,-706000000.0,
Purchase Of Intangibles,-637000000.0,-565000000.0,-626000000.0,-706000000.0,
Net PPE Purchase And Sale,-491000000.0,-924000000.0,-1235000000.0,-1675000000.0,
Sale Of PPE,557000000.0,321000000.0,111000000.0,387000000.0,
Purchase Of PPE,-1048000000.0,-1245000000.0,-1346000000.0,-2062000000.0,
Operating Cash Flow,13445000000.0,13931000000.0,10435000000.0,12796000000.0,
Cash Flow From Continuing Operating Activities,13445000000.0,13931000000.0,10435000000.0,12796000000.0,
Change In Working Capital,1313000000.0,2184000000.0,202000000.0,1791000000.0,
Change In Other Working Capital,1866000000.0,1004000000.0,457000000.0,196000000.0,
Change In Payables And Accrued Expense,-13000000.0,65000000.0,213000000.0,85000000.0,
Change In Payable,-13000000.0,65000000.0,213000000.0,85000000.0,
Change In Account Payable,-13000000.0,65000000.0,213000000.0,85000000.0,
Change In Inventory,-166000000.0,390000000.0,71000000.0,138000000.0,
Change In Receivables,-374000000.0,725000000.0,-539000000.0,1372000000.0,
Other Non Cash Items,,,,,-1000000.0
Stock Based Compensation,1311000000.0,1133000000.0,987000000.0,982000000.0,
Deferred Tax,-2330000000.0,-1114000000.0,-2726000000.0,-2001000000.0,
Deferred Income Tax,-2330000000.0,-1114000000.0,-2726000000.0,-2001000000.0,
Depreciation Amortization Depletion,4667000000.0,4396000000.0,4802000000.0,6417000000.0,
Depreciation And Amortization,4667000000.0,4396000000.0,4802000000.0,6417000000.0,
Amortization Cash Flow,2499000000.0,2287000000.0,2395000000.0,2529000000.0,
Amortization Of Intangibles,2499000000.0,2287000000.0,2395000000.0,2529000000.0,
Depreciation,2168000000.0,2109000000.0,2407000000.0,3888000000.0,
Operating Gains Losses,2461000000.0,-170000000.0,5531000000.0,-136000000.0,
Pension And Employee Benefit Expense,3113000000.0,0.0,5894000000.0,0.0,
Gain Loss On Sale Of Business,-652000000.0,-170000000.0,-363000000.0,,
Net Income From Continuing Operations,6023000000.0,7502000000.0,1639000000.0,5743000000.0,
