,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-15656000000.0,-14279000000.0,-9411000000.0,9127000000.0,
Repurchase Of Capital Stock,,0.0,0.0,-2415000000.0,-14229000000.0
Repayment Of Debt,-9637000000.0,-4367000000.0,-4984000000.0,-2500000000.0,
Issuance Of Debt,10324000000.0,11391000000.0,10493000000.0,4974000000.0,
Issuance Of Capital Stock,12714000000.0,1511000000.0,874000000.0,0.0,
Capital Expenditure,-23944000000.0,-25750000000.0,-24844000000.0,-20329000000.0,
Interest Paid Supplemental Data,987000000.0,613000000.0,459000000.0,545000000.0,
Income Tax Paid Supplemental Data,2202000000.0,2621000000.0,4282000000.0,2263000000.0,
End Cash Position,8249000000.0,7079000000.0,11144000000.0,4827000000.0,
Beginning Cash Position,7079000000.0,11144000000.0,4827000000.0,5865000000.0,
Changes In Cash,1170000000.0,-4065000000.0,6317000000.0,-1038000000.0,
Financing Cash Flow,11138000000.0,8505000000.0,1115000000.0,-6211000000.0,
Cash Flow From Continuing Financing Activities,11138000000.0,8505000000.0,1115000000.0,-6211000000.0,
Net Other Financing Charges,-1651000000.0,2016000000.0,-248000000.0,-1646000000.0,
Proceeds From Stock Option Exercised,987000000.0,1042000000.0,977000000.0,1020000000.0,
Cash Dividends Paid,-1599000000.0,-3088000000.0,-5997000000.0,-5644000000.0,
Common Stock Dividend Paid,-1599000000.0,-3088000000.0,-5997000000.0,-5644000000.0,
Net Common Stock Issuance,12714000000.0,1511000000.0,874000000.0,-2415000000.0,
Common Stock Payments,,0.0,0.0,-2415000000.0,-14229000000.0
Common Stock Issuance,12714000000.0,1511000000.0,874000000.0,0.0,
Net Issuance Payments Of Debt,687000000.0,7024000000.0,5509000000.0,2474000000.0,
Net Short Term Debt Issuance,0.0,-3944000000.0,3945000000.0,0.0,
Short Term Debt Payments,-7349000000.0,-3944000000.0,0.0,0.0,
Short Term Debt Issuance,7349000000.0,0.0,3945000000.0,0.0,
Net Long Term Debt Issuance,687000000.0,10968000000.0,1564000000.0,2474000000.0,
Long Term Debt Payments,-2288000000.0,-423000000.0,-4984000000.0,-2500000000.0,
Long Term Debt Issuance,2975000000.0,11391000000.0,6548000000.0,4974000000.0,
Investing Cash Flow,-18256000000.0,-24041000000.0,-10231000000.0,-24283000000.0,
Cash Flow From Continuing Investing Activities,-18256000000.0,-24041000000.0,-10231000000.0,-24283000000.0,
Net Other Investing Changes,1200000000.0,1587000000.0,-1329000000.0,1333000000.0,
Net Investment Purchase And Sale,4570000000.0,135000000.0,10044000000.0,-5287000000.0,
Sale Of Investment,42510000000.0,44549000000.0,53691000000.0,35880000000.0,
Purchase Of Investment,-37940000000.0,-44414000000.0,-43647000000.0,-41167000000.0,
Net Business Purchase And Sale,-82000000.0,-13000000.0,5898000000.0,0.0,
Sale Of Business,0.0,0.0,6579000000.0,0.0,
Purchase Of Business,-82000000.0,-13000000.0,-681000000.0,-209000000.0,
Net PPE Purchase And Sale,-23944000000.0,-25750000000.0,-24844000000.0,-20329000000.0,
Purchase Of PPE,-23944000000.0,-25750000000.0,-24844000000.0,-20329000000.0,
Operating Cash Flow,8288000000.0,11471000000.0,15433000000.0,29456000000.0,
Cash Flow From Continuing Operating Activities,8288000000.0,11471000000.0,15433000000.0,29456000000.0,
Change In Working Capital,1103000000.0,-569000000.0,339000000.0,-5408000000.0,
Change In Other Working Capital,1867000000.0,-1982000000.0,-990000000.0,-2100000000.0,
Change In Payables And Accrued Expense,416000000.0,-1415000000.0,-1562000000.0,1705000000.0,
Change In Accrued Expense,-218000000.0,-614000000.0,-1533000000.0,515000000.0,
Change In Payable,634000000.0,-801000000.0,-29000000.0,1190000000.0,
Change In Account Payable,634000000.0,-801000000.0,-29000000.0,1190000000.0,
Change In Prepaid Assets,,,-24000000.0,-1583000000.0,-181000000.0
Change In Inventory,-1105000000.0,2097000000.0,-2436000000.0,-2339000000.0,
Change In Receivables,-75000000.0,731000000.0,5327000000.0,-2674000000.0,
Changes In Account Receivables,-75000000.0,731000000.0,5327000000.0,-2674000000.0,
Other Non Cash Items,3491000000.0,-424000000.0,1074000000.0,2626000000.0,
Stock Based Compensation,3410000000.0,3229000000.0,3128000000.0,2036000000.0,
Asset Impairment Charge,2252000000.0,33000000.0,301000000.0,,
Deferred Tax,6132000000.0,-2033000000.0,-5148000000.0,,
Deferred Income Tax,6132000000.0,-2033000000.0,-5148000000.0,,
Depreciation Amortization Depletion,11379000000.0,9602000000.0,13035000000.0,11792000000.0,
Depreciation And Amortization,11379000000.0,9602000000.0,13035000000.0,11792000000.0,
Amortization Cash Flow,1428000000.0,1755000000.0,1907000000.0,1839000000.0,
Amortization Of Intangibles,1428000000.0,1755000000.0,1907000000.0,1839000000.0,
Depreciation,9951000000.0,7847000000.0,11128000000.0,9953000000.0,
Operating Gains Losses,-246000000.0,-42000000.0,-5313000000.0,-1458000000.0,
Earnings Losses From Equity Investments,,,,,-1757000000.0
Gain Loss On Investment Securities,-246000000.0,-42000000.0,-4254000000.0,-1458000000.0,
Gain Loss On Sale Of Business,0.0,0.0,-1059000000.0,0.0,
Net Income From Continuing Operations,-19233000000.0,1675000000.0,8017000000.0,19868000000.0,
