,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,6921826000.0,6925749000.0,1618528000.0,-131975000.0,
Repurchase Of Capital Stock,-6263746000.0,-6045347000.0,0.0,-600022000.0,
Repayment Of Debt,-400000000.0,0.0,-700000000.0,-500000000.0,
Issuance Of Debt,1794460000.0,0.0,0.0,0.0,
Issuance Of Capital Stock,832887000.0,169990000.0,35746000.0,174414000.0,
Capital Expenditure,-439538000.0,-348552000.0,-407729000.0,-524585000.0,
Interest Paid Supplemental Data,674502000.0,684504000.0,701693000.0,763432000.0,
Income Tax Paid Supplemental Data,1641530000.0,1154973000.0,811720000.0,509265000.0,
End Cash Position,7807337000.0,7118515000.0,5170582000.0,6055111000.0,
Beginning Cash Position,7118515000.0,5170582000.0,6055111000.0,8238870000.0,
Effect Of Exchange Rate Changes,-416331000.0,82684000.0,-170140000.0,-86740000.0,
Changes In Cash,1105153000.0,1865249000.0,-714389000.0,-2097019000.0,
Financing Cash Flow,-4074427000.0,-5950803000.0,-664254000.0,-1149776000.0,
Cash Flow From Continuing Financing Activities,-4074427000.0,-5950803000.0,-664254000.0,-1149776000.0,
Net Other Financing Charges,-38028000.0,-75446000.0,,-224168000.0,-7559000.0
Net Common Stock Issuance,-5430859000.0,-5875357000.0,35746000.0,-425608000.0,
Common Stock Payments,-6263746000.0,-6045347000.0,0.0,-600022000.0,
Common Stock Issuance,832887000.0,169990000.0,35746000.0,174414000.0,
Net Issuance Payments Of Debt,1394460000.0,0.0,-700000000.0,-500000000.0,
Net Long Term Debt Issuance,1394460000.0,0.0,-700000000.0,-500000000.0,
Long Term Debt Payments,-400000000.0,0.0,-700000000.0,-500000000.0,
Long Term Debt Issuance,1794460000.0,0.0,0.0,0.0,
Investing Cash Flow,-2181784000.0,541751000.0,-2076392000.0,-1339853000.0,
Cash Flow From Continuing Investing Activities,-2181784000.0,541751000.0,-2076392000.0,-1339853000.0,
Net Other Investing Changes,,,,-26919000.0,-7431000.0
Net Investment Purchase And Sale,-1742246000.0,890303000.0,-911276000.0,0.0,
Sale Of Investment,0.0,1395165000.0,0.0,0.0,
Purchase Of Investment,-1742246000.0,-504862000.0,-911276000.0,0.0,
Net Business Purchase And Sale,0.0,0.0,-757387000.0,-788349000.0,
Purchase Of Business,0.0,0.0,-757387000.0,-788349000.0,
Net PPE Purchase And Sale,-439538000.0,-348552000.0,-407729000.0,-524585000.0,
Purchase Of PPE,-439538000.0,-348552000.0,-407729000.0,-524585000.0,
Operating Cash Flow,7361364000.0,7274301000.0,2026257000.0,392610000.0,
Cash Flow From Continuing Operating Activities,7361364000.0,7274301000.0,2026257000.0,392610000.0,
Change In Working Capital,-33075000.0,-116148000.0,-758087000.0,-241977000.0,
Change In Other Working Capital,-368507000.0,-132212000.0,-190197000.0,-197749000.0,
Change In Other Current Assets,22180000.0,-181003000.0,-353834000.0,-369681000.0,
Change In Payables And Accrued Expense,313252000.0,197067000.0,-214056000.0,325453000.0,
Change In Accrued Expense,191899000.0,103565000.0,-55513000.0,180338000.0,
Change In Payable,121353000.0,93502000.0,-158543000.0,145115000.0,
Change In Account Payable,121353000.0,93502000.0,-158543000.0,145115000.0,
Other Non Cash Items,-16507974000.0,-12628230000.0,-16126185000.0,-17092527000.0,
Stock Based Compensation,272588000.0,339368000.0,575452000.0,403220000.0,
Deferred Tax,-590698000.0,-459359000.0,-166550000.0,199548000.0,
Deferred Income Tax,-590698000.0,-459359000.0,-166550000.0,199548000.0,
Depreciation Amortization Depletion,15630431000.0,14554384000.0,14362814000.0,12438779000.0,
Depreciation And Amortization,15630431000.0,14554384000.0,14362814000.0,12438779000.0,
Amortization Cash Flow,15301517000.0,14197437000.0,14026132000.0,12230367000.0,
Amortization Of Intangibles,15301517000.0,14197437000.0,14026132000.0,12230367000.0,
Depreciation,328914000.0,356947000.0,336682000.0,208412000.0,
Operating Gains Losses,-121539000.0,176296000.0,-353111000.0,-430661000.0,
Net Foreign Currency Exchange Gain Loss,-121539000.0,176296000.0,-353111000.0,-430661000.0,
Net Income From Continuing Operations,8711631000.0,5407990000.0,4491924000.0,5116228000.0,
