,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,665000000.0,873000000.0,2065000000.0,1280000000.0
Repurchase Of Capital Stock,-300000000.0,-300000000.0,0.0,0.0
Repayment Of Debt,-1037000000.0,-219000000.0,-1153000000.0,-480000000.0
Issuance Of Debt,496000000.0,8000000.0,17000000.0,1595000000.0
Capital Expenditure,-652000000.0,-601000000.0,-560000000.0,-479000000.0
End Cash Position,6234000000.0,5467000000.0,6691000000.0,6940000000.0
Beginning Cash Position,5467000000.0,6691000000.0,6940000000.0,5910000000.0
Effect Of Exchange Rate Changes,-91000000.0,19000000.0,133000000.0,-174000000.0
Changes In Cash,858000000.0,-1243000000.0,-382000000.0,1204000000.0
Financing Cash Flow,-1502000000.0,-837000000.0,-1212000000.0,883000000.0
Cash Flow From Continuing Financing Activities,-1502000000.0,-837000000.0,-1212000000.0,883000000.0
Net Other Financing Charges,,,,-1000000.0
Proceeds From Stock Option Exercised,,,,0.0
Cash Dividends Paid,-621000000.0,-353000000.0,-9000000.0,-149000000.0
Common Stock Dividend Paid,-621000000.0,-353000000.0,-9000000.0,-148000000.0
Net Common Stock Issuance,-300000000.0,-300000000.0,0.0,0.0
Common Stock Payments,-300000000.0,-300000000.0,0.0,0.0
Net Issuance Payments Of Debt,-581000000.0,-184000000.0,-1203000000.0,1032000000.0
Net Short Term Debt Issuance,-40000000.0,27000000.0,-67000000.0,-83000000.0
Net Long Term Debt Issuance,-541000000.0,-211000000.0,-1136000000.0,1115000000.0
Long Term Debt Payments,-1037000000.0,-219000000.0,-1153000000.0,-480000000.0
Long Term Debt Issuance,496000000.0,8000000.0,17000000.0,1595000000.0
Investing Cash Flow,1043000000.0,-1880000000.0,-1795000000.0,-1438000000.0
Cash Flow From Continuing Investing Activities,1043000000.0,-1880000000.0,-1795000000.0,-1438000000.0
Net Other Investing Changes,30000000.0,-28000000.0,-58000000.0,100000000.0
Net Investment Purchase And Sale,1478000000.0,-1264000000.0,-1247000000.0,-968000000.0
Sale Of Investment,3416000000.0,2446000000.0,675000000.0,245000000.0
Purchase Of Investment,-1938000000.0,-3710000000.0,-1922000000.0,-1213000000.0
Net Business Purchase And Sale,-2000000.0,-20000000.0,-33000000.0,-104000000.0
Sale Of Business,17000000.0,0.0,0.0,11000000.0
Purchase Of Business,-19000000.0,-20000000.0,-33000000.0,-104000000.0
Net PPE Purchase And Sale,-463000000.0,-568000000.0,-457000000.0,-466000000.0
Sale Of PPE,189000000.0,33000000.0,103000000.0,13000000.0
Purchase Of PPE,-652000000.0,-601000000.0,-560000000.0,-479000000.0
Capital Expenditure Reported,,,,-479000000.0
Operating Cash Flow,1317000000.0,1474000000.0,2625000000.0,1759000000.0
Cash Flow From Continuing Operating Activities,1317000000.0,1474000000.0,2625000000.0,1759000000.0
Taxes Refund Paid,-576000000.0,-381000000.0,-314000000.0,-280000000.0
Interest Received Cfo,178000000.0,65000000.0,41000000.0,33000000.0
Interest Paid Cfo,-241000000.0,-180000000.0,-192000000.0,-35000000.0
Change In Working Capital,-1282000000.0,-1843000000.0,-268000000.0,-710000000.0
Change In Other Current Liabilities,-2029000000.0,-401000000.0,-459000000.0,-845000000.0
Change In Inventory,443000000.0,-991000000.0,-48000000.0,553000000.0
Change In Receivables,304000000.0,-451000000.0,239000000.0,-418000000.0
Other Non Cash Items,507000000.0,205000000.0,444000000.0,649000000.0
Stock Based Compensation,202000000.0,149000000.0,108000000.0,76000000.0
Asset Impairment Charge,25000000.0,152000000.0,40000000.0,246000000.0
Deferred Tax,825000000.0,-2030000000.0,273000000.0,3254000000.0
Deferred Income Tax,825000000.0,-2030000000.0,273000000.0,3254000000.0
Depreciation Amortization Depletion,1087000000.0,1140000000.0,1095000000.0,1132000000.0
Depreciation And Amortization,1087000000.0,1140000000.0,1095000000.0,1132000000.0
Amortization Cash Flow,423000000.0,,,
Amortization Of Intangibles,423000000.0,,,
Depreciation,664000000.0,,,
Operating Gains Losses,-87000000.0,-62000000.0,-247000000.0,-90000000.0
Earnings Losses From Equity Investments,,26000000.0,-9000000.0,-26000000.0
Gain Loss On Investment Securities,56000000.0,-27000000.0,-188000000.0,-61000000.0
Gain Loss On Sale Of PPE,-143000000.0,-35000000.0,-59000000.0,-3000000.0
Gain Loss On Sale Of Business,,,0.0,0.0
Net Income From Continuing Operations,679000000.0,4259000000.0,1645000000.0,-2516000000.0
