,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,445974000000.0,300653000000.0,282074000000.0,605095000000.0,
Repurchase Of Capital Stock,,-50733000000.0,-95350000000.0,-67000000.0,-43000000.0
Capital Expenditure,-16123000000.0,-22190000000.0,-7587000000.0,-7011000000.0,
End Cash Position,853432000000.0,1194569000000.0,1022718000000.0,932079000000.0,
Other Cash Adjustment Outside Changein Cash,,,1000000.0,,-1000000.0
Beginning Cash Position,1194569000000.0,1022718000000.0,932079000000.0,621402000000.0,
Effect Of Exchange Rate Changes,64356000000.0,28474000000.0,44288000000.0,30042000000.0,
Changes In Cash,-405493000000.0,143377000000.0,46350000000.0,280635000000.0,
Financing Cash Flow,-236958000000.0,-290973000000.0,-337010000000.0,-194938000000.0,
Net Other Financing Charges,-718000000.0,-52273000000.0,-1100000000.0,-850000000.0,
Cash Dividends Paid,-236240000000.0,-238700000000.0,-240560000000.0,-194021000000.0,
Common Stock Dividend Paid,,,,-194021000000.0,-108331000000.0
Net Common Stock Issuance,,-50733000000.0,-95350000000.0,-67000000.0,-43000000.0
Common Stock Payments,,-50733000000.0,-95350000000.0,-67000000.0,-43000000.0
Investing Cash Flow,-630632000000.0,111507000000.0,93699000000.0,-136533000000.0,
Net Other Investing Changes,-495460000000.0,128387000000.0,29398000000.0,15350000000.0,
Net Investment Purchase And Sale,-119059000000.0,5216000000.0,71881000000.0,-149725000000.0,
Sale Of Investment,1202083000000.0,729907000000.0,1015200000000.0,803058000000.0,
Purchase Of Investment,-1321142000000.0,-724691000000.0,-943319000000.0,-952783000000.0,
Net PPE Purchase And Sale,-16113000000.0,-22096000000.0,-7580000000.0,-2158000000.0,
Sale Of PPE,10000000.0,94000000.0,7000000.0,4853000000.0,
Purchase Of PPE,-16123000000.0,-22190000000.0,-7587000000.0,-7011000000.0,
Capital Expenditure Reported,,,,-7011000000.0,-9843000000.0
Operating Cash Flow,462097000000.0,322843000000.0,289661000000.0,612106000000.0,
Taxes Refund Paid,-183415000000.0,-189615000000.0,-264031000000.0,-133122000000.0,
Interest Received Cfo,52822000000.0,24455000000.0,4862000000.0,8702000000.0,
Interest Paid Cfo,-166000000.0,-131000000.0,-281000000.0,-177000000.0,
Change In Working Capital,86022000000.0,-9364000000.0,-50590000000.0,23808000000.0,
Change In Other Current Liabilities,,,,254000000.0,5551000000.0
Change In Other Current Assets,,,,254000000.0,5551000000.0
Change In Payable,-74541000000.0,8667000000.0,23301000000.0,17389000000.0,
Change In Inventory,123853000000.0,-45792000000.0,-84563000000.0,7244000000.0,
Change In Receivables,37995000000.0,31513000000.0,8134000000.0,-527000000.0,
Other Non Cash Items,-78498000000.0,-33439000000.0,-1218000000.0,51982000000.0,
Depreciation And Amortization,17856000000.0,11040000000.0,10527000000.0,10798000000.0,
Depreciation,17856000000.0,11040000000.0,10527000000.0,10798000000.0,
Gain Loss On Investment Securities,,,,-6770000000.0,-16689000000.0
Net Foreign Currency Exchange Gain Loss,-83145000000.0,-54260000000.0,-57324000000.0,-24625000000.0,
Net Income From Continuing Operations,680722000000.0,600757000000.0,674389000000.0,681305000000.0,
