,2024-05-31,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Free Cash Flow,11807000000.0,8470000000.0,5028000000.0,13752000000.0,
Repurchase Of Capital Stock,-3242000000.0,-2503000000.0,-17341000000.0,-21600000000.0,
Repayment Of Debt,-3500000000.0,-21050000000.0,-8250000000.0,-2631000000.0,
Issuance Of Debt,0.0,33494000000.0,0.0,14934000000.0,
Issuance Of Capital Stock,742000000.0,1192000000.0,482000000.0,1786000000.0,
Capital Expenditure,-6866000000.0,-8695000000.0,-4511000000.0,-2135000000.0,
Interest Paid Supplemental Data,3655000000.0,3250000000.0,2735000000.0,2408000000.0,
Income Tax Paid Supplemental Data,3560000000.0,3009000000.0,2567000000.0,3189000000.0,
End Cash Position,10454000000.0,9765000000.0,21383000000.0,30098000000.0,
Beginning Cash Position,9765000000.0,21383000000.0,30098000000.0,37239000000.0,
Effect Of Exchange Rate Changes,-70000000.0,-209000000.0,-348000000.0,448000000.0,
Changes In Cash,759000000.0,-11409000000.0,-8367000000.0,-7589000000.0,
Financing Cash Flow,-10554000000.0,7910000000.0,-29126000000.0,-10378000000.0,
Cash Flow From Continuing Financing Activities,-10554000000.0,7910000000.0,-29126000000.0,-10378000000.0,
Net Other Financing Charges,4000000.0,-55000000.0,-560000000.0,196000000.0,
Cash Dividends Paid,-4391000000.0,-3668000000.0,-3457000000.0,-3063000000.0,
Common Stock Dividend Paid,-4391000000.0,-3668000000.0,-3457000000.0,-3063000000.0,
Net Common Stock Issuance,-2500000000.0,-1311000000.0,-16859000000.0,-19814000000.0,
Common Stock Payments,-3242000000.0,-2503000000.0,-17341000000.0,-21600000000.0,
Common Stock Issuance,742000000.0,1192000000.0,482000000.0,1786000000.0,
Net Issuance Payments Of Debt,-3667000000.0,12944000000.0,-8250000000.0,12303000000.0,
Net Short Term Debt Issuance,-167000000.0,500000000.0,0.0,0.0,
Short Term Debt Issuance,,500000000.0,0.0,0.0,
Net Long Term Debt Issuance,-3500000000.0,12444000000.0,-8250000000.0,12303000000.0,
Long Term Debt Payments,-3500000000.0,-21050000000.0,-8250000000.0,-2631000000.0,
Long Term Debt Issuance,0.0,33494000000.0,0.0,14934000000.0,
Investing Cash Flow,-7360000000.0,-36484000000.0,11220000000.0,-13098000000.0,
Cash Flow From Continuing Investing Activities,-7360000000.0,-36484000000.0,11220000000.0,-13098000000.0,
Net Investment Purchase And Sale,-431000000.0,-68000000.0,15879000000.0,-10922000000.0,
Sale Of Investment,572000000.0,1113000000.0,26151000000.0,27060000000.0,
Purchase Of Investment,-1003000000.0,-1181000000.0,-10272000000.0,-37982000000.0,
Net Business Purchase And Sale,-63000000.0,-27721000000.0,-148000000.0,-41000000.0,
Purchase Of Business,-63000000.0,-27721000000.0,-148000000.0,-41000000.0,
Capital Expenditure Reported,-6866000000.0,-8695000000.0,-4511000000.0,-2135000000.0,
Operating Cash Flow,18673000000.0,17165000000.0,9539000000.0,15887000000.0,
Cash Flow From Continuing Operating Activities,18673000000.0,17165000000.0,9539000000.0,15887000000.0,
Change In Working Capital,-488000000.0,513000000.0,-1987000000.0,-148000000.0,
Change In Other Working Capital,656000000.0,781000000.0,7000000.0,405000000.0,
Change In Payables And Accrued Expense,-721000000.0,-434000000.0,-1131000000.0,-1508000000.0,
Change In Payable,-721000000.0,-434000000.0,-1131000000.0,-1508000000.0,
Change In Account Payable,-594000000.0,-281000000.0,-733000000.0,-23000000.0,
Change In Tax Payable,-127000000.0,-153000000.0,-398000000.0,-1485000000.0,
Change In Income Tax Payable,-127000000.0,-153000000.0,-398000000.0,-1485000000.0,
Change In Prepaid Assets,542000000.0,317000000.0,11000000.0,622000000.0,
Change In Receivables,-965000000.0,-151000000.0,-874000000.0,333000000.0,
Changes In Account Receivables,-965000000.0,-151000000.0,-874000000.0,333000000.0,
Other Non Cash Items,720000000.0,661000000.0,220000000.0,-39000000.0,
Stock Based Compensation,3974000000.0,3547000000.0,2613000000.0,1837000000.0,
Provisionand Write Offof Assets,,,,192000000.0,245000000.0
Deferred Tax,-2139000000.0,-2167000000.0,-1146000000.0,-2425000000.0,
Deferred Income Tax,-2139000000.0,-2167000000.0,-1146000000.0,-2425000000.0,
Depreciation Amortization Depletion,6139000000.0,6108000000.0,3122000000.0,2916000000.0,
Depreciation And Amortization,6139000000.0,6108000000.0,3122000000.0,2916000000.0,
Amortization Cash Flow,3010000000.0,3582000000.0,1150000000.0,1379000000.0,
Amortization Of Intangibles,3010000000.0,3582000000.0,1150000000.0,1379000000.0,
Depreciation,3129000000.0,2526000000.0,1972000000.0,1537000000.0,
Net Income From Continuing Operations,10467000000.0,8503000000.0,6717000000.0,13746000000.0,
