,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Free Cash Flow,749267000000.0,-298944000000.0,792547000000.0,662286000000.0,
Repurchase Of Capital Stock,-202974000000.0,-99248000000.0,-88624000000.0,-366000000.0,
Repayment Of Debt,-128150000000.0,-132198000000.0,-194562000000.0,-504752000000.0,
Issuance Of Debt,225176000000.0,361776000000.0,31458000000.0,633435000000.0,
Capital Expenditure,-623946000000.0,-613635000000.0,-441096000000.0,-477931000000.0,
Interest Paid Supplemental Data,97524000000.0,39015000000.0,15450000000.0,17831000000.0,
Income Tax Paid Supplemental Data,,,,119084000000.0,216922000000.0
End Cash Position,1907113000000.0,1480900000000.0,2049636000000.0,1786982000000.0,
Other Cash Adjustment Outside Changein Cash,,,,-582000000.0,-2938000000.0
Beginning Cash Position,1480900000000.0,2049636000000.0,1786982000000.0,1512523000000.0,
Effect Of Exchange Rate Changes,82595000000.0,84937000000.0,94369000000.0,36685000000.0,
Changes In Cash,343618000000.0,-653673000000.0,168285000000.0,237774000000.0,
Financing Cash Flow,-210709000000.0,84300000000.0,-336578000000.0,-338533000000.0,
Cash Flow From Continuing Financing Activities,-210709000000.0,84300000000.0,-336578000000.0,-338533000000.0,
Net Other Financing Charges,12229000000.0,8147000000.0,-10916000000.0,-405562000000.0,
Cash Dividends Paid,-98620000000.0,-86568000000.0,-74342000000.0,-61288000000.0,
Common Stock Dividend Paid,-98620000000.0,-86568000000.0,-74342000000.0,-61288000000.0,
Net Common Stock Issuance,-202974000000.0,-99248000000.0,-88624000000.0,-366000000.0,
Common Stock Payments,-202974000000.0,-99248000000.0,-88624000000.0,-366000000.0,
Net Issuance Payments Of Debt,78656000000.0,261969000000.0,-162696000000.0,128683000000.0,
Net Short Term Debt Issuance,-18370000000.0,32391000000.0,408000000.0,-18334000000.0,
Short Term Debt Payments,,0.0,0.0,-414834000000.0,0.0
Short Term Debt Issuance,,32391000000.0,408000000.0,396500000000.0,193332000000.0
Net Long Term Debt Issuance,97026000000.0,229578000000.0,-163104000000.0,147017000000.0,
Long Term Debt Payments,-128150000000.0,-132198000000.0,-194562000000.0,-89918000000.0,
Long Term Debt Issuance,225176000000.0,361776000000.0,31458000000.0,236935000000.0,
Investing Cash Flow,-818886000000.0,-1052664000000.0,-728780000000.0,-563910000000.0,
Cash Flow From Continuing Investing Activities,-818886000000.0,-1052664000000.0,-728780000000.0,-563910000000.0,
Net Other Investing Changes,-4429000000.0,9138000000.0,-11083000000.0,-6764000000.0,
Net Investment Purchase And Sale,-2827000000.0,-177581000000.0,-75001000000.0,-82999000000.0,
Sale Of Investment,92679000000.0,13548000000.0,16081000000.0,20352000000.0,
Purchase Of Investment,-95506000000.0,-191129000000.0,-91082000000.0,-103351000000.0,
Net Business Purchase And Sale,-199255000000.0,-282181000000.0,-213009000000.0,-12109000000.0,
Sale Of Business,0.0,1221000000.0,64609000000.0,3151000000.0,
Purchase Of Business,-199255000000.0,-283402000000.0,-277618000000.0,-15260000000.0,
