,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-29610000.0,-67230000.0,29400000.0,3383915.650196,
Tax Rate For Calcs,0.21,0.135,0.21,0.025636,
Normalized EBITDA,12317000000.0,15191000000.0,7034000000.0,12277000000.0,
Total Unusual Items,-141000000.0,-498000000.0,140000000.0,132000000.0,
Total Unusual Items Excluding Goodwill,-141000000.0,-498000000.0,140000000.0,132000000.0,
Net Income From Continuing Operation Net Minority Interest,6015000000.0,7514000000.0,1783000000.0,4712000000.0,
Reconciled Depreciation,4667000000.0,4396000000.0,4802000000.0,6417000000.0,
Reconciled Cost Of Revenue,23639000000.0,24159000000.0,27842000000.0,25865000000.0,
EBITDA,12176000000.0,14693000000.0,7174000000.0,12409000000.0,
EBIT,7509000000.0,10297000000.0,2372000000.0,5992000000.0,
Net Interest Income,-965000000.0,-937000000.0,-1054000000.0,-1103000000.0,
Interest Expense,1712000000.0,1607000000.0,1216000000.0,1155000000.0,
Interest Income,747000000.0,670000000.0,162000000.0,52000000.0,
Normalized Income,6126390000.0,7944770000.0,1672400000.0,4583383915.650196,
Net Income From Continuing And Discontinued Operation,6023000000.0,7502000000.0,1640000000.0,5742000000.0,
Total Expenses,52678000000.0,52039000000.0,52355000000.0,50486000000.0,
Diluted Average Shares,,922073828.0,912269062.0,904641001.0,896563971.0
Basic Average Shares,,911210319.0,902664190.0,895990771.0,890348679.0
Diluted EPS,,8.14,1.8,6.35,6.23
Basic EPS,,8.23,1.82,6.41,6.28
Diluted NI Availto Com Stockholders,6023000000.0,7502000000.0,1639000000.0,5743000000.0,
Average Dilution Earnings,0.0,0.0,0.0,0.0,
Net Income Common Stockholders,6023000000.0,7502000000.0,1639000000.0,5743000000.0,
Net Income,6023000000.0,7502000000.0,1640000000.0,5742000000.0,
Net Income Including Noncontrolling Interests,6023000000.0,7502000000.0,1640000000.0,5742000000.0,
Net Income Discontinuous Operations,8000000.0,-12000000.0,-143000000.0,1030000000.0,
Net Income Continuous Operations,6015000000.0,7514000000.0,1783000000.0,4712000000.0,
Tax Provision,-218000000.0,1176000000.0,-626000000.0,124000000.0,
Pretax Income,5797000000.0,8690000000.0,1156000000.0,4837000000.0,
Other Income Expense,-3313000000.0,-193000000.0,-5965000000.0,-925000000.0,
Other Non Operating Income Expenses,-3172000000.0,305000000.0,-6105000000.0,-1057000000.0,
Special Income Charges,-104000000.0,-438000000.0,-29000000.0,-146000000.0,
Gain On Sale Of Ppe,592000000.0,8000000.0,21000000.0,35000000.0,
Write Off,,,,,109000000.0
Restructuring And Mergern Acquisition,696000000.0,438000000.0,50000000.0,181000000.0,
Gain On Sale Of Security,-37000000.0,-60000000.0,140000000.0,132000000.0,
Net Non Operating Interest Income Expense,-965000000.0,-937000000.0,-1054000000.0,-1103000000.0,
Interest Expense Non Operating,1712000000.0,1607000000.0,1216000000.0,1155000000.0,
Interest Income Non Operating,747000000.0,670000000.0,162000000.0,52000000.0,
Operating Income,10074000000.0,9821000000.0,8174000000.0,6865000000.0,
Operating Expense,25477000000.0,24479000000.0,24513000000.0,24621000000.0,
Other Operating Expenses,-996000000.0,-860000000.0,-663000000.0,-612000000.0,
Provision For Doubtful Accounts,-21000000.0,10000000.0,64000000.0,-71000000.0,
Depreciation Amortization Depletion Income Statement,1105000000.0,995000000.0,1062000000.0,1116000000.0,
Depreciation And Amortization In Income Statement,1105000000.0,995000000.0,1062000000.0,1116000000.0,
Amortization,1105000000.0,995000000.0,1062000000.0,1116000000.0,
Amortization Of Intangibles Income Statement,1105000000.0,995000000.0,1062000000.0,1116000000.0,
Research And Development,7479000000.0,6775000000.0,6567000000.0,6488000000.0,
Selling General And Administration,17910000000.0,17559000000.0,18609000000.0,18745000000.0,
Selling And Marketing Expense,1173000000.0,1237000000.0,1330000000.0,1413000000.0,
General And Administrative Expense,16737000000.0,16322000000.0,16103000000.0,16105000000.0,
Other Gand A,16047000000.0,15706000000.0,15537000000.0,15550000000.0,
Salaries And Wages,690000000.0,616000000.0,566000000.0,555000000.0,
Gross Profit,35551000000.0,34300000000.0,32687000000.0,31486000000.0,
Cost Of Revenue,27201000000.0,27560000000.0,27842000000.0,25865000000.0,
Total Revenue,62753000000.0,61860000000.0,60530000000.0,57351000000.0,
Operating Revenue,62753000000.0,61860000000.0,60530000000.0,57351000000.0,
