,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1571430000.0,21420000.0,1105860000.0,8755000.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.085,
Normalized EBITDA,8686000000.0,11140000000.0,16033000000.0,33989000000.0,
Total Unusual Items,-7483000000.0,102000000.0,5266000000.0,103000000.0,
Total Unusual Items Excluding Goodwill,-7483000000.0,102000000.0,5266000000.0,103000000.0,
Net Income From Continuing Operation Net Minority Interest,-18756000000.0,1689000000.0,8014000000.0,19868000000.0,
Reconciled Depreciation,11379000000.0,9602000000.0,13035000000.0,11792000000.0,
Reconciled Cost Of Revenue,35756000000.0,32517000000.0,36188000000.0,35209000000.0,
EBITDA,1203000000.0,11242000000.0,21299000000.0,34092000000.0,
EBIT,-10176000000.0,1640000000.0,8264000000.0,22300000000.0,
Net Interest Income,981000000.0,629000000.0,166000000.0,-482000000.0,
Interest Expense,1034000000.0,878000000.0,496000000.0,597000000.0,
Interest Income,1805000000.0,1335000000.0,589000000.0,144000000.0,
Normalized Income,-12844430000.0,1608420000.0,3853860000.0,19773755000.0,
Net Income From Continuing And Discontinued Operation,-18756000000.0,1689000000.0,8014000000.0,19868000000.0,
Total Expenses,57809000000.0,54197000000.0,60718000000.0,56942000000.0,
Total Operating Income As Reported,-11678000000.0,93000000.0,2334000000.0,19456000000.0,
Diluted Average Shares,,4212000000.0,4123000000.0,4090000000.0,4232000000.0
Basic Average Shares,,4190000000.0,4108000000.0,4059000000.0,4199000000.0
Diluted EPS,,0.4,1.94,4.86,4.94
Basic EPS,,0.4,1.95,4.89,4.98
Diluted NI Availto Com Stockholders,-18756000000.0,1689000000.0,8014000000.0,19868000000.0,
Net Income Common Stockholders,-18756000000.0,1689000000.0,8014000000.0,19868000000.0,
Net Income,-18756000000.0,1689000000.0,8014000000.0,19868000000.0,
Minority Interests,477000000.0,14000000.0,-3000000.0,0.0,
Net Income Including Noncontrolling Interests,-19233000000.0,1675000000.0,8017000000.0,19868000000.0,
Net Income Continuous Operations,-19233000000.0,1675000000.0,8017000000.0,19868000000.0,
Tax Provision,8023000000.0,-913000000.0,-249000000.0,1835000000.0,
Pretax Income,-11210000000.0,762000000.0,7768000000.0,21703000000.0,
Other Income Expense,-7483000000.0,102000000.0,5266000000.0,103000000.0,
Other Non Operating Income Expenses,,,,,-147000000.0
Special Income Charges,-7317000000.0,-152000000.0,808000000.0,-2780000000.0,
Gain On Sale Of Business,,,1000000000.0,,
Other Special Charges,858000000.0,-329000000.0,-1187000000.0,2291000000.0,
Write Off,3978000000.0,259000000.0,341000000.0,441000000.0,
Restructuring And Mergern Acquisition,2481000000.0,222000000.0,1038000000.0,48000000.0,
Gain On Sale Of Security,-166000000.0,254000000.0,4458000000.0,2883000000.0,
Net Non Operating Interest Income Expense,981000000.0,629000000.0,166000000.0,-482000000.0,
Total Other Finance Cost,-210000000.0,-172000000.0,-73000000.0,29000000.0,
Interest Expense Non Operating,1034000000.0,878000000.0,496000000.0,597000000.0,
Interest Income Non Operating,1805000000.0,1335000000.0,589000000.0,144000000.0,
Operating Income,-4708000000.0,31000000.0,2336000000.0,22082000000.0,
Operating Expense,22053000000.0,21680000000.0,24530000000.0,21733000000.0,
Research And Development,16546000000.0,16046000000.0,17528000000.0,15190000000.0,
Selling General And Administration,5507000000.0,5634000000.0,7002000000.0,6543000000.0,
Gross Profit,17345000000.0,21711000000.0,26866000000.0,43815000000.0,
Cost Of Revenue,35756000000.0,32517000000.0,36188000000.0,35209000000.0,
Total Revenue,53101000000.0,54228000000.0,63054000000.0,79024000000.0,
Operating Revenue,53101000000.0,54228000000.0,63054000000.0,79024000000.0,
