,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.13,0.13,0.15,0.12
Normalized EBITDA,26314821000.0,21508387000.0,20332955000.0,19044502000.0
Net Income From Continuing Operation Net Minority Interest,8711631000.0,5407990000.0,4491924000.0,5116228000.0
Reconciled Depreciation,15630431000.0,14554384000.0,14362814000.0,12438779000.0
Reconciled Cost Of Revenue,21038464000.0,19715368000.0,19168285000.0,17332683000.0
EBITDA,26314821000.0,21508387000.0,20332955000.0,19044502000.0
EBIT,10684390000.0,6954003000.0,5970141000.0,6605723000.0
Net Interest Income,-451957000.0,-748598000.0,-368902000.0,-354406000.0
Interest Expense,718733000.0,748598000.0,706212000.0,765620000.0
Interest Income,266776000.0,,337310000.0,411214000.0
Normalized Income,8711631000.0,5407990000.0,4491924000.0,5116228000.0
Net Income From Continuing And Discontinued Operation,8711631000.0,5407990000.0,4491924000.0,5116228000.0
Total Expenses,28583352000.0,26769294000.0,25982719000.0,23503335000.0
Total Operating Income As Reported,10417614000.0,6954003000.0,5632831000.0,6194509000.0
Diluted Average Shares,439261000.0,449498000.0,451290000.0,455372000.0
Basic Average Shares,429519000.0,441571000.0,444698000.0,443155000.0
Diluted EPS,19.83,12.03,9.95,11.24
Basic EPS,20.28,12.25,10.1,11.55
Diluted NI Availto Com Stockholders,8711631000.0,5407990000.0,4491924000.0,5116228000.0
Net Income Common Stockholders,8711631000.0,5407990000.0,4491924000.0,5116228000.0
Net Income,8711631000.0,5407990000.0,4491924000.0,5116228000.0
Net Income Including Noncontrolling Interests,8711631000.0,5407990000.0,4491924000.0,5116228000.0
Net Income Continuous Operations,8711631000.0,5407990000.0,4491924000.0,5116228000.0
Tax Provision,1254026000.0,797415000.0,772005000.0,723875000.0
Pretax Income,9965657000.0,6205405000.0,5263929000.0,5840103000.0
Net Non Operating Interest Income Expense,-451957000.0,-748598000.0,-368902000.0,-354406000.0
Interest Expense Non Operating,718733000.0,748598000.0,706212000.0,765620000.0
Interest Income Non Operating,266776000.0,,337310000.0,411214000.0
Operating Income,10417614000.0,6954003000.0,5632831000.0,6194509000.0
Operating Expense,7544888000.0,7053926000.0,6814434000.0,6170652000.0
Research And Development,2925295000.0,2675758000.0,2711041000.0,2273885000.0
Selling General And Administration,4619593000.0,4378168000.0,4103393000.0,3896767000.0
Selling And Marketing Expense,2917554000.0,2657883000.0,2530502000.0,2545146000.0
General And Administrative Expense,1702039000.0,1720285000.0,1572891000.0,1351621000.0
Other Gand A,1702039000.0,1720285000.0,1572891000.0,1351621000.0
Gross Profit,17962502000.0,14007929000.0,12447265000.0,12365161000.0
Cost Of Revenue,21038464000.0,19715368000.0,19168285000.0,17332683000.0
Total Revenue,39000966000.0,33723297000.0,31615550000.0,29697844000.0
Operating Revenue,39000966000.0,33723297000.0,31615550000.0,29697844000.0
