,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Tax Effect Of Unusual Items,1780000.0,-500000.0,-41860000.0,99720000.0,
Tax Rate For Calcs,0.02,0.01,0.13,0.12,
Normalized EBITDA,12650000000.0,9996000000.0,17572000000.0,11584000000.0,
Total Unusual Items,89000000.0,-50000000.0,-322000000.0,831000000.0,
Total Unusual Items Excluding Goodwill,89000000.0,-50000000.0,-322000000.0,831000000.0,
Net Income From Continuing Operation Net Minority Interest,10110000000.0,7339000000.0,12986000000.0,9043000000.0,
Reconciled Depreciation,1706000000.0,1809000000.0,1762000000.0,1582000000.0,
Reconciled Cost Of Revenue,17060000000.0,15869000000.0,18635000000.0,14262000000.0,
EBITDA,12739000000.0,9946000000.0,17250000000.0,12415000000.0,
EBIT,11033000000.0,8137000000.0,15488000000.0,10833000000.0,
Net Interest Income,-22000000.0,-381000000.0,-399000000.0,-476000000.0,
Interest Expense,697000000.0,694000000.0,490000000.0,559000000.0,
Interest Income,675000000.0,313000000.0,91000000.0,83000000.0,
Normalized Income,10022780000.0,7388500000.0,13266140000.0,8311720000.0,
Net Income From Continuing And Discontinued Operation,10142000000.0,7232000000.0,12936000000.0,9043000000.0,
Total Expenses,28891000000.0,28032000000.0,28340000000.0,23777000000.0,
Total Operating Income As Reported,10071000000.0,7788000000.0,15860000000.0,9789000000.0,
Diluted Average Shares,1130000000.0,1126000000.0,1137000000.0,1149000000.0,
Basic Average Shares,1116000000.0,1117000000.0,1123000000.0,1131000000.0,
Diluted EPS,8.97,6.42,11.37,7.87,
Basic EPS,9.09,6.47,11.52,7.99,
Diluted NI Availto Com Stockholders,10142000000.0,7232000000.0,12936000000.0,9043000000.0,
Net Income Common Stockholders,10142000000.0,7232000000.0,12936000000.0,9043000000.0,
Net Income,10142000000.0,7232000000.0,12936000000.0,9043000000.0,
Net Income Including Noncontrolling Interests,10142000000.0,7232000000.0,12936000000.0,9043000000.0,
Net Income Discontinuous Operations,32000000.0,-107000000.0,-50000000.0,0.0,
Net Income Continuous Operations,10110000000.0,7339000000.0,12986000000.0,9043000000.0,
Tax Provision,226000000.0,104000000.0,2012000000.0,1231000000.0,
Pretax Income,10336000000.0,7443000000.0,14998000000.0,10274000000.0,
Other Income Expense,287000000.0,36000000.0,-463000000.0,961000000.0,
Other Non Operating Income Expenses,198000000.0,86000000.0,-141000000.0,130000000.0,
Special Income Charges,-79000000.0,-132000000.0,-47000000.0,-33000000.0,
Write Off,79000000.0,132000000.0,47000000.0,33000000.0,
Earnings From Equity Interest,,,-7000000.0,13000000.0,-21000000.0
Gain On Sale Of Security,168000000.0,82000000.0,-275000000.0,864000000.0,
Net Non Operating Interest Income Expense,-22000000.0,-381000000.0,-399000000.0,-476000000.0,
Interest Expense Non Operating,697000000.0,694000000.0,490000000.0,559000000.0,
Interest Income Non Operating,675000000.0,313000000.0,91000000.0,83000000.0,
Operating Income,10071000000.0,7788000000.0,15860000000.0,9789000000.0,
Operating Expense,11831000000.0,12163000000.0,9705000000.0,9515000000.0,
Other Operating Expenses,179000000.0,862000000.0,-1059000000.0,,-28000000.0
Research And Development,8893000000.0,8818000000.0,8194000000.0,7176000000.0,
Selling General And Administration,2759000000.0,2483000000.0,2570000000.0,2339000000.0,
Gross Profit,21902000000.0,19951000000.0,25565000000.0,19304000000.0,
Cost Of Revenue,17060000000.0,15869000000.0,18635000000.0,14262000000.0,
Total Revenue,38962000000.0,35820000000.0,44200000000.0,33566000000.0,
Operating Revenue,38962000000.0,35820000000.0,44200000000.0,33566000000.0,
