,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,21991079000.0,-2243134000.0,266500000.0,10220956000.0,
Tax Rate For Calcs,0.227,0.206,0.205,0.3062,
Normalized EBITDA,2357762000000.0,2316373000000.0,1966036000000.0,1666166000000.0,
Total Unusual Items,96877000000.0,-10889000000.0,1300000000.0,33380000000.0,
Total Unusual Items Excluding Goodwill,96877000000.0,-10889000000.0,1300000000.0,33380000000.0,
Net Income From Continuing Operation Net Minority Interest,970573000000.0,1005277000000.0,882178000000.0,1029610000000.0,
Reconciled Depreciation,1144981000000.0,1004590000000.0,835233000000.0,687373000000.0,
Reconciled Cost Of Revenue,9695687000000.0,7739284000000.0,7219841000000.0,6567553000000.0,
EBITDA,2454639000000.0,2305484000000.0,1967336000000.0,1699546000000.0,
EBIT,1309658000000.0,1300894000000.0,1132103000000.0,1012173000000.0,
Net Interest Income,-5703000000.0,-12269000000.0,-19839000000.0,-3924000000.0,
Interest Expense,40996000000.0,26398000000.0,14600000000.0,14208000000.0,
Interest Income,37580000000.0,22399000000.0,6996000000.0,7610000000.0,
Normalized Income,895687079000.0,1013922866000.0,881144500000.0,1006450956000.0,
Net Income From Continuing And Discontinued Operation,970573000000.0,1005277000000.0,882178000000.0,1029610000000.0,
Total Expenses,11853782000000.0,9701168000000.0,8809117000000.0,8041703000000.0,
Total Operating Income As Reported,1208831000000.0,1302389000000.0,1202339000000.0,955255000000.0,
Diluted Average Shares,6176655000.0,6206885000.0,6256300000.0,6253460000.0,
Basic Average Shares,6156210000.0,6178505000.0,6196495000.0,6152400000.0,
Diluted EPS,157.136,161.97,141.032,187.38,
Basic EPS,157.658,162.706,142.368,190.458,
Diluted NI Availto Com Stockholders,970573000000.0,1005328000000.0,882341000000.0,1029995000000.0,
Average Dilution Earnings,0.0,51000000.0,163000000.0,385000000.0,
Net Income Common Stockholders,970573000000.0,1005277000000.0,882178000000.0,1029610000000.0,
Net Income,970573000000.0,1005277000000.0,882178000000.0,1029610000000.0,
Minority Interests,-9921000000.0,-6496000000.0,-6228000000.0,-14286000000.0,
Net Income Including Noncontrolling Interests,980494000000.0,1011773000000.0,888406000000.0,1043896000000.0,
Net Income Continuous Operations,980494000000.0,1011773000000.0,888406000000.0,1043896000000.0,
Tax Provision,288168000000.0,262723000000.0,229097000000.0,-45931000000.0,
Pretax Income,1268662000000.0,1274496000000.0,1117503000000.0,997965000000.0,
Other Income Expense,107379000000.0,13560000000.0,24946000000.0,44931000000.0,
Other Non Operating Income Expenses,,,69217000000.0,-8737000000.0,-7228000000.0
Special Income Charges,31343000000.0,4735000000.0,66297000000.0,-13254000000.0,
Gain On Sale Of Ppe,4675000000.0,417000000.0,-8316000000.0,-32122000000.0,
Gain On Sale Of Business,26668000000.0,4318000000.0,74613000000.0,18868000000.0,
Other Special Charges,,,,,6358000000.0
Restructuring And Mergern Acquisition,,,,0.0,-1827000000.0
Earnings From Equity Interest,10502000000.0,24449000000.0,23646000000.0,11551000000.0,
Gain On Sale Of Security,65534000000.0,-15624000000.0,-64997000000.0,46634000000.0,
Net Non Operating Interest Income Expense,-5703000000.0,-12269000000.0,-19839000000.0,-3924000000.0,
Total Other Finance Cost,2287000000.0,8270000000.0,12235000000.0,-2674000000.0,
Interest Expense Non Operating,40996000000.0,26398000000.0,14600000000.0,14208000000.0,
Interest Income Non Operating,37580000000.0,22399000000.0,6996000000.0,7610000000.0,
Operating Income,1166986000000.0,1273205000000.0,1112396000000.0,956958000000.0,
Operating Expense,2158095000000.0,1961884000000.0,1589276000000.0,1474150000000.0,
Other Operating Expenses,1939000000.0,-7286000000.0,803000000.0,996000000.0,
Selling General And Administration,2156156000000.0,1969170000000.0,1588473000000.0,1473154000000.0,
Gross Profit,3325081000000.0,3235089000000.0,2701672000000.0,2431108000000.0,
Cost Of Revenue,9695687000000.0,7739284000000.0,7219841000000.0,6567553000000.0,
Total Revenue,13020768000000.0,10974373000000.0,9921513000000.0,8998661000000.0,
Operating Revenue,13020768000000.0,10974373000000.0,9921513000000.0,8998661000000.0,
