,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-7643351884.3752,-22864080000.0,-25405600000.0,-13557566210.000643,
Tax Rate For Calcs,0.082025,0.24,0.275,0.251995,
Normalized EBITDA,81157657000000.0,50698344000000.0,86403532000000.0,88084529000000.0,
Total Unusual Items,-93183000000.0,-95267000000.0,-92384000000.0,-53801000000.0,
Total Unusual Items Excluding Goodwill,-93183000000.0,-95267000000.0,-92384000000.0,-53801000000.0,
Net Income From Continuing Operation Net Minority Interest,33621363000000.0,14473401000000.0,54730018000000.0,39243791000000.0,
Reconciled Depreciation,42630822000000.0,38666559000000.0,39107659000000.0,34247361000000.0,
Reconciled Cost Of Revenue,186562268000000.0,180388580000000.0,190041770000000.0,166411342000000.0,
EBITDA,81064474000000.0,50603077000000.0,86311148000000.0,88030728000000.0,
EBIT,38433652000000.0,11936518000000.0,47203489000000.0,53783367000000.0,
Net Interest Income,3915210000000.0,3427769000000.0,1957464000000.0,846738000000.0,
Interest Expense,903918000000.0,930253000000.0,763015000000.0,431540000000.0,
Interest Income,4819128000000.0,4358022000000.0,2720479000000.0,1278278000000.0,
Normalized Income,33706902648115.625,14545803920000.0,54796996400000.0,39284034433790.0,
Net Income From Continuing And Discontinued Operation,33621363000000.0,14473401000000.0,54730018000000.0,39243791000000.0,
Total Expenses,268144942000000.0,252368518000000.0,258854730000000.0,227970943000000.0,
Total Operating Income As Reported,32725961000000.0,6566976000000.0,43376630000000.0,51633856000000.0,
Diluted Average Shares,6792194545.0,6791835289.0,6792853171.0,6793109053.0,
Basic Average Shares,6792194545.0,6791835289.0,6792853171.0,6793109053.0,
Diluted EPS,4950.0,2131.0,8057.0,5777.0,
Basic EPS,4950.0,2131.0,8057.0,5777.0,
Diluted NI Availto Com Stockholders,,,,,22929390000000.0
Net Income Common Stockholders,33621363000000.0,14473401000000.0,54730018000000.0,39243791000000.0,
Otherunder Preferred Stock Dividend,,,,,0.0
Preferred Stock Dividends,,,,,3161456000000.0
Net Income,33621363000000.0,14473401000000.0,54730018000000.0,39243791000000.0,
Minority Interests,-829988000000.0,-1013699000000.0,-924059000000.0,-663659000000.0,
Net Income Including Noncontrolling Interests,34451351000000.0,15487100000000.0,55654077000000.0,39907450000000.0,
Net Income Continuous Operations,34451351000000.0,15487100000000.0,55654077000000.0,39907450000000.0,
Tax Provision,3078383000000.0,-4480835000000.0,-9213603000000.0,13444377000000.0,
Pretax Income,37529734000000.0,11006265000000.0,46440474000000.0,53351827000000.0,
Other Non Operating Income Expenses,458747000000.0,157431000000.0,-34632000000.0,19997000000.0,
Special Income Charges,-258590000000.0,-224513000000.0,-208074000000.0,-6113000000.0,
Other Special Charges,258590000000.0,224513000000.0,208074000000.0,6113000000.0,
Net Non Operating Interest Income Expense,3915210000000.0,3427769000000.0,1957464000000.0,846738000000.0,
Interest Expense Non Operating,903918000000.0,930253000000.0,763015000000.0,431540000000.0,
Interest Income Non Operating,4819128000000.0,4358022000000.0,2720479000000.0,1278278000000.0,
Operating Income,32725961000000.0,6566976000000.0,43376630000000.0,51633856000000.0,
Operating Expense,81582674000000.0,71979938000000.0,68812960000000.0,61559601000000.0,
Depreciation And Amortization In Income Statement,2405725000000.0,2338121000000.0,2239103000000.0,2073051000000.0,
Amortization,716646000000.0,688786000000.0,664346000000.0,543544000000.0,
Depreciation Income Statement,1689079000000.0,1649335000000.0,1574757000000.0,1529507000000.0,
Research And Development,34998142000000.0,28339724000000.0,24919198000000.0,22401726000000.0,
Selling General And Administration,35078235000000.0,32678162000000.0,33560956000000.0,29528020000000.0,
Selling And Marketing Expense,28340823000000.0,26552163000000.0,27567710000000.0,24687074000000.0,
General And Administrative Expense,6737412000000.0,6125999000000.0,5993246000000.0,4840946000000.0,
Gross Profit,114308635000000.0,78546914000000.0,112189590000000.0,113193457000000.0,
Cost Of Revenue,186562268000000.0,180388580000000.0,190041770000000.0,166411342000000.0,
Total Revenue,300870903000000.0,258935494000000.0,302231360000000.0,279604799000000.0,
Operating Revenue,300870903000000.0,258935494000000.0,302231360000000.0,279604799000000.0,
