source,author,title,description,url,urlToImage,publishedAt,content,Sentiment
"{'id': None, 'name': 'Yahoo Entertainment'}",鉅亨網編譯羅昀玫 綜合外電,〈美股盤後〉川普關稅威脅再起 輝達暴跌超8% 費半血崩逾6%,美國經濟降溫，關稅威脅再起，美股主指週四 (27 日) 盡墨。川普撤銷石油巨頭雪佛龍在委內瑞拉經營許可，能源股走強。AI 巨頭輝達暴跌超 8%。,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E7%9B%A4%E5%BE%8C-%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85%E5%A8%81%E8%84%85%E5%86%8D%E8%B5%B7-%E8%BC%9D%E9%81%94%E6%9A%B4%E8%B7%8C%E8%B6%858-%E8%B2%BB%E5%8D%8A%E8%A1%80%E5%B4%A9%E9%80%BE6-215212503.html,https://media.zenfs.com/ko/cnyes.com.tw/dee7840a5366115b522a1016e4478358,2025-02-27T13:52:12Z,"(27 ) AI 8%
 190 500 1.59% 2025 2.78% 6%
 3 4 10% 
 25% 
 (GDP) 2.3% 3.1% 
 242,000 
AAII 40.5% 60.6%
 (PCE) 
 (27 ) 
<ul><li> 193.62 0.45% 43,239.5 
</li><li> 530.84 2.78% 18,544.42 
</li… [+850 chars]",0.0
"{'id': None, 'name': 'Quartz India'}",Britney Nguyen,Amazon is entering the race for practical quantum computing with its new chip,Amazon (AMZN) Web Services has unveiled its first-ever quantum computing chip that it said is a step toward building practical quantum computers at scale.Read more...,https://qz.com/amazon-unveil-quantum-computing-chip-ocelot-aws-qubits-1851766663,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/4440ed74a48c00b188bb07e2f47b0020.jpg",2025-02-27T11:00:00Z,"In This Story
Amazon (AMZN+0.40%
) Web Services has unveiled its first-ever quantum computing chip that it said is a step toward building practical quantum computers at scale.
The tech giant said … [+2808 chars]",0.1779
"{'id': None, 'name': 'Yahoo Entertainment'}",Brian Sozzi,"Nvidia posts earnings beat, but future margins are a 'little concerning': What Wall Street is saying",Nvidia's outlook catches extra scrutiny by the markets.,https://finance.yahoo.com/news/nvidia-posts-earnings-beat-but-future-margins-are-a-little-concerning-what-wall-street-is-saying-103444002.html,https://s.yimg.com/ny/api/res/1.2/0AiIc5FRE6Qq0GmLtqCr7A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-03/86a9d5d0-e56c-11ee-afde-16f3be496fa9,2025-02-27T10:34:44Z,"Only in the world of AI darling Nvidia (NVDA) are hypersonic growth rates not seemingly enough for the beloved stock's bulls.
Shares of the $3.2 trillion market cap chipmaker had reversed losses and… [+6456 chars]",0.8481
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Archer Investment Management LLC Invests $278,000 in Amazon.com, Inc. (NASDAQ:AMZN)","Archer Investment Management LLC acquired a new stake in Amazon.com, Inc. (NASDAQ:AMZN) during the 4th quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The institutional investor acquired 1,269 shares of the e-commer…",https://www.etfdailynews.com/2025/02/27/archer-investment-management-llc-invests-278000-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2025-02-27T09:56:59Z,"Archer Investment Management LLC acquired a new stake in Amazon.com, Inc. (NASDAQ:AMZN) during the 4th quarter, according to its most recent 13F filing with the Securities &amp; Exchange Commission. … [+5608 chars]",0.296
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Trust Point Inc. Purchases 2,321 Shares of Amazon.com, Inc. (NASDAQ:AMZN)","Trust Point Inc. boosted its position in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 5.0% in the fourth quarter, HoldingsChannel reports. The institutional investor owned 48,413 shares of the e-commerce giant’s stock after acquiring an additional 2,321 shares…",https://www.etfdailynews.com/2025/02/27/trust-point-inc-purchases-2321-shares-of-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2025-02-27T09:56:57Z,"Trust Point Inc. boosted its position in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 5.0% in the fourth quarter, HoldingsChannel reports. The institutional investor owned 48,413 shares of the e-comme… [+5667 chars]",0.8481
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Boston Trust Walden Corp Has $24.70 Million Position in Amazon.com, Inc. (NASDAQ:AMZN)","Boston Trust Walden Corp lifted its holdings in Amazon.com, Inc. (NASDAQ:AMZN) by 276.6% during the fourth quarter, according to its most recent Form 13F filing with the SEC. The firm owned 112,566 shares of the e-commerce giant’s stock after purchasing an ad…",https://www.etfdailynews.com/2025/02/27/boston-trust-walden-corp-has-24-70-million-position-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2025-02-27T09:56:56Z,"Boston Trust Walden Corp lifted its holdings in Amazon.com, Inc. (NASDAQ:AMZN) by 276.6% during the fourth quarter, according to its most recent Form 13F filing with the SEC. The firm owned 112,566 s… [+5784 chars]",0.5106
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"F&V Capital Management LLC Raises Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN)","F&V Capital Management LLC raised its position in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 16.0% during the 4th quarter, Holdings Channel reports. The firm owned 1,509 shares of the e-commerce giant’s stock after buying an additional 208 shares during the …",https://www.etfdailynews.com/2025/02/27/fv-capital-management-llc-raises-stock-holdings-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2025-02-27T09:56:52Z,"F&amp;V Capital Management LLC raised its position in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 16.0% during the 4th quarter, Holdings Channel reports. The firm owned 1,509 shares of the e-commerce… [+5263 chars]",0.5267
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Amazon.com, Inc. (NASDAQ:AMZN) is Patron Partners LLC’s 4th Largest Position","Patron Partners LLC increased its position in Amazon.com, Inc. (NASDAQ:AMZN) by 1.1% during the fourth quarter, Holdings Channel.com reports. The institutional investor owned 29,321 shares of the e-commerce giant’s stock after purchasing an additional 308 sha…",https://www.etfdailynews.com/2025/02/27/amazon-com-inc-nasdaqamzn-is-patron-partners-llcs-4th-largest-position/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2025-02-27T09:56:51Z,"Patron Partners LLC increased its position in Amazon.com, Inc. (NASDAQ:AMZN) by 1.1% during the fourth quarter, Holdings Channel.com reports. The institutional investor owned 29,321 shares of the e-c… [+5622 chars]",0.5106
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"E&G Advisors LP Sells 1,520 Shares of Amazon.com, Inc. (NASDAQ:AMZN)","E&G Advisors LP reduced its stake in Amazon.com, Inc. (NASDAQ:AMZN) by 5.8% in the 4th quarter, Holdings Channel reports. The firm owned 24,883 shares of the e-commerce giant’s stock after selling 1,520 shares during the period. Amazon.com accounts for approx…",https://www.etfdailynews.com/2025/02/27/eg-advisors-lp-sells-1520-shares-of-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2025-02-27T09:56:49Z,"E&amp;G Advisors LP reduced its stake in Amazon.com, Inc. (NASDAQ:AMZN) by 5.8% in the 4th quarter, Holdings Channel reports. The firm owned 24,883 shares of the e-commerce giant’s stock after sellin… [+6065 chars]",0.296
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Rheos Capital Works Inc. Raises Stock Holdings in Amazon.com, Inc. (NASDAQ:AMZN)","Rheos Capital Works Inc. lifted its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 5.6% during the fourth quarter, Holdings Channel.com reports. The firm owned 283,800 shares of the e-commerce giant’s stock after acquiring an additional 15,000 shares…",https://www.etfdailynews.com/2025/02/27/rheos-capital-works-inc-raises-stock-holdings-in-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2025-02-27T09:21:01Z,"Rheos Capital Works Inc. lifted its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 5.6% during the fourth quarter, Holdings Channel.com reports. The firm owned 283,800 shares of the e-commer… [+5382 chars]",0.5267
