source,author,title,description,url,urlToImage,publishedAt,content,Sentiment
"{'id': None, 'name': 'Quartz India'}",William Gavin,"Trump says more tariffs on China, Canada, and Mexico are coming soon","President Donald Trump said new tariffs are scheduled to go into effect next Tuesday on the U.S.’s top trade partners, citing a failure to limit the flow of fentanyl into the country.Read more...",https://qz.com/trump-tariff-china-canada-mexico-fentanyl-food-auto-eu-1851766742,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/b69835cc8a996d297e8255b06e09242c.jpg",2025-02-27T14:58:48Z,"In This Story
President Donald Trump said new tariffs are scheduled to go into effect next Tuesday on the U.S.s top trade partners, citing a failure to limit the flow of fentanyl into the country.
… [+2729 chars]",-0.3612
"{'id': None, 'name': 'Yahoo Entertainment'}",鉅亨網編譯羅昀玫 綜合外電,〈美股盤後〉川普關稅威脅再起 輝達暴跌超8% 費半血崩逾6%,美國經濟降溫，關稅威脅再起，美股主指週四 (27 日) 盡墨。川普撤銷石油巨頭雪佛龍在委內瑞拉經營許可，能源股走強。AI 巨頭輝達暴跌超 8%。,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E7%9B%A4%E5%BE%8C-%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85%E5%A8%81%E8%84%85%E5%86%8D%E8%B5%B7-%E8%BC%9D%E9%81%94%E6%9A%B4%E8%B7%8C%E8%B6%858-%E8%B2%BB%E5%8D%8A%E8%A1%80%E5%B4%A9%E9%80%BE6-215212503.html,https://media.zenfs.com/ko/cnyes.com.tw/dee7840a5366115b522a1016e4478358,2025-02-27T13:52:12Z,"(27 ) AI 8%
 190 500 1.59% 2025 2.78% 6%
 3 4 10% 
 25% 
 (GDP) 2.3% 3.1% 
 242,000 
AAII 40.5% 60.6%
 (PCE) 
 (27 ) 
<ul><li> 193.62 0.45% 43,239.5 
</li><li> 530.84 2.78% 18,544.42 
</li… [+850 chars]",0.0
"{'id': None, 'name': 'Quartz India'}",Britney Nguyen,Amazon is entering the race for practical quantum computing with its new chip,Amazon (AMZN) Web Services has unveiled its first-ever quantum computing chip that it said is a step toward building practical quantum computers at scale.Read more...,https://qz.com/amazon-unveil-quantum-computing-chip-ocelot-aws-qubits-1851766663,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/4440ed74a48c00b188bb07e2f47b0020.jpg",2025-02-27T11:00:00Z,"In This Story
Amazon (AMZN+0.40%
) Web Services has unveiled its first-ever quantum computing chip that it said is a step toward building practical quantum computers at scale.
The tech giant said … [+2808 chars]",0.1779
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Best Healthcare Stocks To Keep An Eye On – February 25th,"Alphabet, Hims & Hers Health, and UnitedHealth Group are the three Healthcare stocks to watch today, according to MarketBeat’s stock screener tool. Healthcare stocks are shares in companies that operate within the healthcare sector, such as those involved in …",https://www.etfdailynews.com/2025/02/27/best-healthcare-stocks-to-keep-an-eye-on-february-25th/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2025-02-27T09:53:13Z,"Alphabet, Hims &amp; Hers Health, and UnitedHealth Group are the three Healthcare stocks to watch today, according to MarketBeat’s stock screener tool. Healthcare stocks are shares in companies that … [+3858 chars]",0.296
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Promising Cybersecurity Stocks To Follow Today – February 25th,"Alphabet, CrowdStrike, and Palo Alto Networks are the three Cybersecurity stocks to watch today, according to MarketBeat’s stock screener tool. Cybersecurity stocks are shares of companies specializing in technologies and services designed to protect networks…",https://www.etfdailynews.com/2025/02/27/promising-cybersecurity-stocks-to-follow-today-february-25th/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2025-02-27T09:53:12Z,"Alphabet, CrowdStrike, and Palo Alto Networks are the three Cybersecurity stocks to watch today, according to MarketBeat’s stock screener tool. Cybersecurity stocks are shares of companies specializi… [+3942 chars]",0.296
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"20,112 Shares in Alphabet Inc. (NASDAQ:GOOGL) Acquired by Myriad Asset Management US LP","Myriad Asset Management US LP purchased a new position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) during the fourth quarter, Holdings Channel reports. The firm purchased 20,112 shares of the information services provider’s stock, valued at approx…",https://www.etfdailynews.com/2025/02/27/20112-shares-in-alphabet-inc-nasdaqgoogl-acquired-by-myriad-asset-management-us-lp/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2025-02-27T08:55:07Z,"Myriad Asset Management US LP purchased a new position in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) during the fourth quarter, Holdings Channel reports. The firm purchased 20,112 shares of… [+5863 chars]",0.8481
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Alphabet Inc. (NASDAQ:GOOGL) Shares Purchased by Members Trust Co,"Members Trust Co boosted its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 3.4% during the fourth quarter, Holdings Channel.com reports. The fund owned 3,753 shares of the information services provider’s stock after purchasing an additional 123 sh…",https://www.etfdailynews.com/2025/02/27/alphabet-inc-nasdaqgoogl-shares-purchased-by-members-trust-co/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2025-02-27T08:55:06Z,"Members Trust Co boosted its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 3.4% during the fourth quarter, Holdings Channel.com reports. The fund owned 3,753 shares of the information ser… [+6066 chars]",0.8834
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Scarborough Advisors LLC Has $698,000 Position in Alphabet Inc. (NASDAQ:GOOGL)","Scarborough Advisors LLC boosted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 22.8% in the 4th quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The firm owned 3,688 shares of the informa…",https://www.etfdailynews.com/2025/02/27/scarborough-advisors-llc-has-698000-position-in-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2025-02-27T08:55:06Z,"Scarborough Advisors LLC boosted its holdings in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 22.8% in the 4th quarter, according to the company in its most recent filing with the Securities and Exc… [+6264 chars]",0.7906
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,CapWealth Advisors LLC Purchases 894 Shares of Alphabet Inc. (NASDAQ:GOOGL),"CapWealth Advisors LLC raised its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.7% during the 4th quarter, according to the company in its most recent 13F filing with the Securities & Exchange Commission. The firm owned 52,478 shares of the info…",https://www.etfdailynews.com/2025/02/27/capwealth-advisors-llc-purchases-894-shares-of-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2025-02-27T08:55:06Z,"CapWealth Advisors LLC raised its position in Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 1.7% during the 4th quarter, according to the company in its most recent 13F filing with the Securities &am… [+6315 chars]",0.6705
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Vivid Wealth Management LLC Buys 447 Shares of Alphabet Inc. (NASDAQ:GOOGL),"Vivid Wealth Management LLC increased its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 2.7% during the 4th quarter, Holdings Channel reports. The fund owned 17,137 shares of the information services provider’s stock after acquiring an addi…",https://www.etfdailynews.com/2025/02/27/vivid-wealth-management-llc-buys-447-shares-of-alphabet-inc-nasdaqgoogl/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/google-inc-logo-1200x675.png&w=240&h=240&zc=2,2025-02-27T08:55:06Z,"Vivid Wealth Management LLC increased its stake in shares of Alphabet Inc. (NASDAQ:GOOGL – Free Report) by 2.7% during the 4th quarter, Holdings Channel reports. The fund owned 17,137 shares of the i… [+6428 chars]",0.9001
