source,author,title,description,url,urlToImage,publishedAt,content,Sentiment
"{'id': None, 'name': 'Quartz India'}",Josh Fellman,Microsoft is pushing back against new AI chip restrictions,"Microsoft (MSFT) will publish a blog post today asking the Trump administration to loosen and simplify a planned new system that would limit the access of the latest American AI chips in most of the world, arguing the changes may push allies toward Chinese su…",https://qz.com/ai-chip-exports-microsoft-trump-deepseek-china-1851766744,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/949e1a12c2dc56dee96e9ccb7680c911.jpg",2025-02-27T14:41:38Z,"In This Story
Microsoft (MSFT-0.72%
) will publish a blog post today asking the Trump administration to loosen and simplify a planned new system that would limit the access of the latest American A… [+1153 chars]",0.0
"{'id': None, 'name': 'Yahoo Entertainment'}",鉅亨網編譯羅昀玫 綜合外電,〈美股盤後〉川普關稅威脅再起 輝達暴跌超8% 費半血崩逾6%,美國經濟降溫，關稅威脅再起，美股主指週四 (27 日) 盡墨。川普撤銷石油巨頭雪佛龍在委內瑞拉經營許可，能源股走強。AI 巨頭輝達暴跌超 8%。,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E7%9B%A4%E5%BE%8C-%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85%E5%A8%81%E8%84%85%E5%86%8D%E8%B5%B7-%E8%BC%9D%E9%81%94%E6%9A%B4%E8%B7%8C%E8%B6%858-%E8%B2%BB%E5%8D%8A%E8%A1%80%E5%B4%A9%E9%80%BE6-215212503.html,https://media.zenfs.com/ko/cnyes.com.tw/dee7840a5366115b522a1016e4478358,2025-02-27T13:52:12Z,"(27 ) AI 8%
 190 500 1.59% 2025 2.78% 6%
 3 4 10% 
 25% 
 (GDP) 2.3% 3.1% 
 242,000 
AAII 40.5% 60.6%
 (PCE) 
 (27 ) 
<ul><li> 193.62 0.45% 43,239.5 
</li><li> 530.84 2.78% 18,544.42 
</li… [+850 chars]",0.0
"{'id': None, 'name': 'Biztoc.com'}",zerohedge.com,"MSFT Urges US To Ease AI Chip Export Curbs On Allies, Days After Gloomy TD Cowen Report","MSFT Urges US To Ease AI Chip Export Curbs On Allies, Days After Gloomy TD Cowen Report
 
Microsoft is set to publish a blog post on its website Thursday, urging the Trump administration to ""loosen and simplify"" a new system for exporting AI training chips to…",https://biztoc.com/x/888e155f412f3f21,https://biztoc.com/cdn/888e155f412f3f21_s.webp,2025-02-27T13:03:55Z,"MSFT Urges US To Ease AI Chip Export Curbs On Allies, Days After Gloomy TD Cowen Report
Microsoft is set to publish a blog post on its website Thursday, urging the Trump administration to ""loosen an… [+144 chars]",0.2263
"{'id': None, 'name': 'Quartz India'}",Britney Nguyen,Amazon is entering the race for practical quantum computing with its new chip,Amazon (AMZN) Web Services has unveiled its first-ever quantum computing chip that it said is a step toward building practical quantum computers at scale.Read more...,https://qz.com/amazon-unveil-quantum-computing-chip-ocelot-aws-qubits-1851766663,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/4440ed74a48c00b188bb07e2f47b0020.jpg",2025-02-27T11:00:00Z,"In This Story
Amazon (AMZN+0.40%
) Web Services has unveiled its first-ever quantum computing chip that it said is a step toward building practical quantum computers at scale.
The tech giant said … [+2808 chars]",0.1779
"{'id': None, 'name': 'Thedividendguyblog.com'}",DivGuy,When Do You Sell a Winner? – January Dividend Income Report,"In 2016, I made a life-changing decision: I took a sabbatical, put my family in a small RV, and drove to Costa Rica. Upon my return in 2017, I officially quit my job as a private banker at National Bank and started working full-time on my baby: Dividend Stock…",https://thedividendguyblog.com/when-do-you-sell-a-winner/,https://thedividendguyblog.com/wp-content/themes/leia-en/imagenes/2025/02/When-Do-You-Sell-a-Winner-January-Dividend-Income-Report.png,2025-02-27T10:30:14Z,"In 2016, I made a life-changing decision: I took a sabbatical, put my family in a small RV, and drove to Costa Rica.
Upon my return in 2017, I officially quit my job as a private banker at National … [+21836 chars]",0.0
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Rep. William R. Keating Purchases Shares of Microsoft Co. (NASDAQ:MSFT),"Representative William R. Keating (D-Massachusetts) recently bought shares of Microsoft Co. (NASDAQ:MSFT). In a filing disclosed on February 25th, the Representative disclosed that they had bought between $1,001 and $15,000 in Microsoft stock on February 5th.…",https://www.etfdailynews.com/2025/02/27/rep-william-r-keating-purchases-shares-of-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2025-02-27T07:03:02Z,"Representative William R. Keating (D-Massachusetts) recently bought shares of Microsoft Co. (NASDAQ:MSFT). In a filing disclosed on February 25th, the Representative disclosed that they had bought be… [+6779 chars]",0.296
"{'id': None, 'name': 'CNBC'}",,Nvidia's beat and raise eases investors' concerns about 4 things nagging the stock,"Shares of Nvidia remain below their Jan. 24 close around $142, the Friday before all the DeepSeek turmoil started.",https://www.cnbc.com/2025/02/26/nvidias-beat-and-raise-eases-investors-concerns-about-4-things-nagging-the-stock.html,https://image.cnbcfm.com/api/v1/image/108108035-17406068832025-02-26t182010z_1605885414_rc2s4cad5hsm_rtrmadp_0_nvidia-results.jpeg?v=1740607008&w=1920&h=1080,2025-02-27T01:52:21Z,Nvidia on Wednesday evening delivered a better-than-expected fiscal 2025 fourth quarter driven by a $2 billion revenue beat on data center sales. Forward guidance also exceeded estimates. Despite the… [+10236 chars],0.0
"{'id': None, 'name': 'Yahoo Entertainment'}",Brian Sozzi,Salesforce CEO Marc Benioff on guidance miss: 'We'll have a great year',Salesforce co-founder and CEO Marc Benioff said the company is on track to have another big year.,https://finance.yahoo.com/news/salesforce-ceo-marc-benioff-on-guidance-miss-well-have-a-great-year-012045289.html,https://s.yimg.com/ny/api/res/1.2/AuuzPyIwKzN6pkXUwLLUiA--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDY-/https://s.yimg.com/os/creatr-uploaded-images/2024-09/d2b5f3e0-75cd-11ef-aedb-81bbe3079445,2025-02-27T01:20:45Z,"A little air has been let out of the balloon that had become Salesforce (CRM) shares.
Salesforce stock fell 5% in after-hours trading on Wednesday after the company's 2025 earnings per share outlook… [+3963 chars]",0.5267
"{'id': None, 'name': 'Forbes'}","Dan Irvine, Contributor, 
 Dan Irvine, Contributor
 https://www.forbes.com/sites/danirvine/",Market Bellwether NVIDIA Signals Maturity Amid Uncertainty,"NVIDIA, the chipmaker that fueled 22% of the S&P 500’s total returns in 2024 with a 171.25% stock surge, continues to ride the AI wave into 2025.",https://www.forbes.com/sites/danirvine/2025/02/26/market-bellwether-nvidia-signals-maturity-amid-uncertainty/,https://imageio.forbes.com/specials-images/imageserve/67bfb2406d356d2bfd3687d1/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-02-27T00:45:56Z,"SANTA CLARA, CALIFORNIA - FEBRUARY 26: The Nvidia logo is displayed on a sign at the Nvidia ... [+] headquarters on February 26, 2025 in Santa Clara, California. Technology company Nvidia will report… [+3160 chars]",0.0
"{'id': None, 'name': 'Shtfplan.com'}",Tyler Durden,Meta In Talks For $200 Billion Data Center Project That “Would Dwarf” All Of Its Other Projects,"Power and electrical equipment companies moved higher in early trading after The Information reported Tuesday evening that Meta Platforms is in discussions to build a new artificial intelligence data center campus that ""would dwarf anything the company has do…",https://www.shtfplan.com/headline-news/meta-in-talks-for-200-billion-data-center-project-that-would-dwarf-all-of-its-other-projects,https://www.shtfplan.com/wp-content/uploads/2018/08/facebookmoney-e1533656210114.jpg,2025-02-26T23:30:38Z,Power and electrical equipment companies moved higher in early trading after The Information reported Tuesday evening that Meta Platforms is in discussions to build a new artificial intelligence data… [+2028 chars],0.4767
"{'id': None, 'name': 'Biztoc.com'}",benzinga.com,$100 Invested In Microsoft 15 Years Ago Would Be Worth This Much Today,"Microsoft (NASDAQ:MSFT) has outperformed the market over the past 15 years by 7.47% on an annualized basis producing an average annual return of 19.2%. Currently, Microsoft has a market capitalization of $2.98 trillion. 
Buying $100 In MSFT: If an ...
Full st…",https://biztoc.com/x/bedcad858561c3e6,https://biztoc.com/cdn/bedcad858561c3e6_s.webp,2025-02-26T21:34:46Z,"Microsoft (NASDAQ:MSFT) has outperformed the market over the past 15 years by 7.47% on an annualized basis producing an average annual return of 19.2%. Currently, Microsoft has a market capitalizatio… [+145 chars]",0.0
