source,author,title,description,url,urlToImage,publishedAt,content,Sentiment
"{'id': None, 'name': 'Quartz India'}",William Gavin,Warner Bros. Discovery's streaming unit is shooting for 150 million subscribers,"On Thursday, Warner Bros. Discovery (WBD) (WBD) said its streaming unit was profitable again, outlining a future that sees overall customers grow to at least 150 million by the end of next year.Read more...",https://qz.com/wbd-streaming-profit-subscribers-zaslav-max-netflix-1851766725,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/7a3b17ccbdcc0f4da8e97ce8e5b7d1a5.jpg",2025-02-27T14:05:08Z,"In This Story
On Thursday, Warner Bros. Discovery (WBD-1.78%
) (WBD) said its streaming unit was profitable again, outlining a future that sees overall customers grow to at least 150 million by the… [+1990 chars]",0.4404
"{'id': None, 'name': 'Yahoo Entertainment'}",Jake Scott,Netflix Stock Could Bounce Off Bullish Trendline,Netflix stock could climb back towards its recent peak,https://finance.yahoo.com/news/netflix-stock-could-bounce-off-171148890.html,https://media.zenfs.com/en/schaeffers_investment_research_24/674ef9eed0b15f70755c40539d98a130,2025-02-26T17:11:48Z,"The shares of streaming giant Netflix Inc (NASDAQ:NFLX) pulled back alongside the broader market, logging losses in the past four sessions after hitting a Feb. 14 record high of $1,064.50. However, t… [+1557 chars]",-0.128
"{'id': None, 'name': 'Observer'}","Brandon Katz, Brandon Katz",Forget Streaming Bundles—the Future is About ‘Ecosystem Bundling’,TV series and films will not be enough to retain subscribers. The future is about creating all-encompassing digital ecosystems.,https://observer.com/2025/02/streaming-bundle-ecosystem/,https://observer.com/wp-content/uploads/sites/2/2025/02/shutter-speed-JKfDuqD90pI-unsplash.jpg?quality=80,2025-02-24T22:03:35Z,"Media and tech companies are creating all-encompassing digital ecosystems that bundle entertainment with broader consumer services.Shutter Speed/Unsplash
Ive always been fascinated by metamorphosisa… [+7493 chars]",0.7964
"{'id': None, 'name': 'Yahoo Entertainment'}",,"Netflix, Inc. (NFLX): A High Growth Mega Cap Stock You Can Buy and Hold for the Next 5 Years",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_38b1d45c-33b7-43c6-ae04-55179f809f68,,2025-02-24T21:23:22Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+702 chars]",0.5423
"{'id': None, 'name': 'Quartz India'}",Bruce Gil,Disney and Warner Bros. Discovery could overtake Netflix. Here’s how,"Disney (DIS) and Warner Bros. Discovery (WBD) (WBD) teamed up last year with a new bundle that combines their streaming platforms under one monthly subscription plan. The move was meant to help boost subscriptions and reduce churn, a major problem for video s…",https://qz.com/disney-warner-bros-discover-netflix-1851766129,"https://i.kinja-img.com/image/upload/c_fill,h_675,pg_1,q_80,w_1200/6f4fda105df57c52b60c5aeccef85b04.jpg",2025-02-24T17:20:00Z,"In This Story
Disney (DIS+1.47%
) and Warner Bros. Discovery (WBD+1.81%
) (WBD) teamed up last year with a new bundle that combines their streaming platforms under one monthly subscription plan. T… [+2829 chars]",0.0
"{'id': None, 'name': 'Motley Fool Australia'}",James Mickleboro,5 of the best ASX ETFs to buy now,"Do you have any of these top funds in your investment portfolio?
The post 5 of the best ASX ETFs to buy now appeared first on The Motley Fool Australia.",https://www.fool.com.au/2025/02/23/5-of-the-best-asx-etfs-to-buy-now/,https://www.fool.com.au/wp-content/uploads/2024/12/five-stack-16.9-1200x675.jpg,2025-02-22T21:34:00Z,"If you are on the hunt for ASX exchange-traded funds (ETFs) to invest in, then you may want to consider the five in this article.
Let's see why they could be top options and what sort of companies t… [+3377 chars]",0.2732
"{'id': None, 'name': 'Lidovky.cz'}",Jiří Zendulka,BIG Expert – zahraniční trhy,Akcie vlastníka Facebooku si po rekordní rallye říkají o rozdělení.,https://neviditelnypes.lidovky.cz/ekonomika/big-expert-zahranicni-trhy.A250221_000955_p_ekonomika_nef,,2025-02-20T23:09:00Z,"Názory expert na budoucí vývoj na vybraných zahraniních trzích sledovaný prostednictvím index a porovnání s eským kapitálovým trhem (PX) v horizontu jednoho msíce a pl roku, v týdnu od 17. 2. 2025.
… [+5694 chars]",0.0
"{'id': 'financial-post', 'name': 'Financial Post'}",Business Wire,Cboe Canada Welcomes Seven New Yield Shares ETFs by Purpose Investments,"TORONTO — Cboe Canada Inc. (“Cboe Canada”) is pleased to announce that Purpose Investments has launched seven new Yield Shares ETFs (“Purpose Yield Shares ETFs”), expanding their suite of single stock, yield-focused funds. The ETFs provide exposure to some of…",https://financialpost.com/pmn/business-wire-news-releases-pmn/cboe-canada-welcomes-seven-new-yield-shares-etfs-by-purpose-investments,,2025-02-20T15:05:11Z,"TORONTO Cboe Canada Inc. (Cboe Canada) is pleased to announce that Purpose Investments has launched seven new Yield Shares ETFs (Purpose Yield Shares ETFs), expanding their suite of single stock, yie… [+4035 chars]",0.7783
"{'id': None, 'name': 'Pypi.org'}",,nflx-security-util 0.0.1.dev0,Example package,https://pypi.org/project/nflx-security-util/0.0.1.dev0/,,2025-02-15T18:38:28Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",0.3182
"{'id': None, 'name': 'Pypi.org'}",,nflx-security-util added to PyPI,Example package,https://pypi.org/project/nflx-security-util/,,2025-02-15T18:38:28Z,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",0.3182
