source,author,title,description,url,urlToImage,publishedAt,content,Sentiment
"{'id': 'nrk', 'name': 'NRK'}",Henning Rønhovde,Trumps nye presidentperiode: Nordmenn mer opptatt av internasjonale forhold,"Den anspente situasjonen i Europa og et mer uforutsigbart USA, fører til vekst i Europabevegelsen. SVs Ingrid Fiskaa mener debatten ikke bør dreie seg om et norsk EU-medlemskap nå, men heller om sikkerhetstrusselen Trump utgjør.",https://www.nrk.no/buskerud/europabevegelsen-vokser-etter-at-trump-ble-president-1.17318185,https://gfx.nrk.no/LFNCncKVDUmkN7amWgwdHA3c2tIIv78tcYFwf2eR0fUg.jpg,2025-02-27T15:20:38Z,"Saken oppsummert
<ul><li>Den anspente situasjonen i Europa og et mer uforutsigbart USA, fører til vekst av medlemmer i Europabevegelsen.</li><li>USAs president Donald Trumps America First»-politikk … [+10001 chars]",0.0
"{'id': 'nrk', 'name': 'NRK'}",NRK,Havila Kystruten med betydelig inntektsøkning,"Havila Kystruten endte med 403 millioner kroner i inntekter i fjerde kvartal 2024.
Det opplyser selskapet i en børsmelding torsdag.
Til sammenlignet endte inntektene på 249 millioner kroner i samme periode året før.
Samlet endte selskapets driftsresultat på 5…",https://www.nrk.no/tromsogfinnmark/havila-kystruten-med-betydelig-inntektsokning-1.17319031,https://gfx.nrk.no/sxwjKATtmpBXhu27Xi8amAzr9IIpchAc3pnlqwMCDBJQ.jpg,2025-02-27T15:18:16Z,"Havila Kystruten endte med 403 millioner kroner i inntekter i fjerde kvartal 2024.
Det opplyser selskapet i en børsmelding torsdag.
Til sammenlignet endte inntektene på 249 millioner kroner i samme… [+368 chars]",0.0
"{'id': None, 'name': 'Politiken.dk'}",,"Vi har kurs mod højere løn og lavere skat i år, men vi tror ikke selv på det","Økonomer forventer, at danskerne får markant flere penge mellem hænderne i år som følge af lønstigninger, skattelettelser og rentefald, men kun de færreste danskere tror på, at det vil ske.",https://politiken.dk/danmark/art10309118/Vi-har-kurs-mod-h%C3%B8jere-l%C3%B8n-og-lavere-skat-i-%C3%A5r-men-vi-tror-ikke-selv-p%C3%A5-det,https://politiken.dk/incoming/img10309917.4k1ntv/ORIGINALS/original_750/Comp%201%20kopier,2025-02-27T15:15:48Z,"Gem artiklen
Gemt
Læst
En usædvanlig tendens har vakt undren i den seneste tid: Det vælter ind med gode nyheder om danskernes økonomi, men samtidig ser danskerne sortere og sortere på økonomien se… [+299 chars]",0.0
"{'id': None, 'name': 'GlobeNewswire'}",Havila Kystruten AS,Havila Kystruten AS: Regnskap for fjerde kvartal 2024,"Sammendrag  Etter flere utfordrende år, der eksterne faktorer har påvirket både levering og finansiering av de nye, miljøvennlige kystruteskipene,...",https://www.globenewswire.com/news-release/2025/02/27/3033999/0/no/Havila-Kystruten-AS-Regnskap-for-fjerde-kvartal-2024.html,,2025-02-27T15:05:00Z,"Sammendrag
Etter flere utfordrende år, der eksterne faktorer har påvirket både levering og finansiering av de nye, miljøvennlige kystruteskipene, markerer 2024 det første året med full drift for all… [+5845 chars]",0.0
"{'id': None, 'name': 'GlobeNewswire'}",Havila Kystruten AS,Havila Kystruten AS: Fourth quarter 2024 accounts,"Summary  Following several challenging years marked by external factors impacting both the delivery and financing of its new, environmentally friendly......",https://www.globenewswire.com/news-release/2025/02/27/3033999/0/en/Havila-Kystruten-AS-Fourth-quarter-2024-accounts.html,,2025-02-27T15:05:00Z,"Summary
Following several challenging years marked by external factors impacting both the delivery and financing of its new, environmentally friendly coastal cruise ships, 2024 represents the first … [+6145 chars]",0.5859
"{'id': None, 'name': 'Computerworld.dk'}",Niels de Boissezon,"Vi prøvekører den nye Tesla Model Y – Man kan sige hvad man vil om Elon Musk, men han kan saftsuseme godt bygge biler",Tesla Model Y er en virkelig vellykket bil. Men den falder alligevel igennem i lidt uventede steder.,https://www.computerworld.dk/art/290649/vi-proevekoerer-den-nye-tesla-model-y-man-kan-sige-hvad-man-vil-om-elon-musk-men-han-kan-saftsuseme-godt-bygge-biler,https://www.computerworld.dk/fil/231707?width=600&height=315&focus=1,2025-02-27T14:58:00Z,"Tesla Model Y er en virkelig vellykket bil. Men den falder alligevel igennem i lidt uventede steder.Annonceindlæg fra InforGlobal techanalyse: Succesfulde virksomheders opskrift på værdiforøgelse
Bi… [+8416 chars]",0.0
"{'id': None, 'name': 'Ing.dk'}","Svend Tøfting, Trafikekspert i Ingeniørforeningen IDA",Blogindlæg: Simple takster og køreplaner kan fordoble antallet af togpassagerer.,"Vi taler i disse år meget om, at vi skal transportere os mere bæredygtigt – men det er kun gået den anden vej. Men nu viser en ny undersøgelse fra IDA, at det vil være muligt at ændre denne udvikling. Det præsenteres på et seminar i IDA 12. marts",https://ing.dk/holdning/simple-takster-og-koereplaner-kan-fordoble-antallet-af-togpassagerer,https://ing.dk/sites/mi/files/styles/open_graph_image_16_9/public/2023-03/intelligent_t.png?itok=0mb5pEtB,2025-02-27T14:34:18Z,"Illustration: Hjalmar Christiansen, DTU.
Der har gennem årene løbende været ønsker om at få flere til at anvende den kollektive trafik. Men det er ikke lykkedes. Og en af grundene er, at der er bygg… [+5350 chars]",0.0
"{'id': 'nrk', 'name': 'NRK'}",NRK,Ny kunnskapsportal om kvinnehelse under utvikling,"‒ Dette er et svært viktig tiltak som nå blir gjennomført. Det er liten tvil om at det er behov for en slik kunnskapsbasert formidlingskanal. Kvinners helse er et felt med store kunnskapshull og forskningen som finnes, når ikke bredt nok ut, sier leder Siri V…",https://www.nrk.no/nyheter/ny-kunnskapsportal-om-kvinnehelse-under-utvikling-1.17318972,https://static.nrk.no/nrkno/serum/2.0.515/common/img/default.jpg,2025-02-27T14:27:51Z,Dette er et svært viktig tiltak som nå blir gjennomført. Det er liten tvil om at det er behov for en slik kunnskapsbasert formidlingskanal. Kvinners helse er et felt med store kunnskapshull og forskn… [+549 chars],0.0
"{'id': None, 'name': 'Www.vg.no'}","Jostein Overvik, Mikal Emil Aaserud, Camilla Vesteng, Herman Folvik, Ole Kristian Strøm, Bjørn S. Delebekk (foto)",Klæbo-bilder vekker oppsikt: – Dette trodde jeg ikke jeg skulle se,Dronning Sonja fikk eksklusiv klem av gullgutten.,https://www.vg.no/sport/i/Rz2ja8/klaebo-bilder-etter-vm-gullet-vekker-oppsikt-dette-trodde-jeg-ikke-jeg-skulle-se,https://images.stream.schibsted.media/users/vgtv/images/a328e9c73e2d568dbfdd464e61c1d04c.jpg?t[]=800q50,2025-02-27T14:25:42Z,"<ul><li>Dronning Sonja ga Johannes Høsflot Klæbo en klem etter suveren VM-seier</li><li>Skikongen er vanligvis ekstremt redd for sykdom, men gjorde et unntak for dronningen</li><li>Klemming utløste r… [+3863 chars]",0.0
"{'id': None, 'name': 'Www.dr.dk'}",,"Salling vil markere europæiske varer, men for kunderne er prisen afgørende","Det har ikke den store betydning, om varerne kommer fra Europa eller USA. Hos dem vi mødte i Føtex i Aabenraa i dag er prisen afgørende.",https://www.dr.dk/nyheder/penge/salling-vil-markere-europaeiske-varer-men-kunderne-er-prisen-afgoerende,https://asset.dr.dk/drdk/drupal-images/other/2025/02/27/scanpix-20200810-192244-l.jpg?im=Resize%2Cwidth%3D1200%3BCrop%2Crect%3D%280%2C0%2C1200%2C675%29%2Cgravity%3DCenter,2025-02-27T13:30:00Z,"Men uanset hvad der er formålet med den sorte stjerne, så er det ikke noget, som får nogen betydning, når Anders Petersen lægger vejen forbi en af Sallings butikker.
- Det virker unødvendigt. Jeg gå… [+2003 chars]",0.0
