source,author,title,description,url,urlToImage,publishedAt,content,Sentiment
"{'id': None, 'name': 'Yahoo Entertainment'}",鉅亨網編譯羅昀玫 綜合外電,〈美股盤後〉川普關稅威脅再起 輝達暴跌超8% 費半血崩逾6%,美國經濟降溫，關稅威脅再起，美股主指週四 (27 日) 盡墨。川普撤銷石油巨頭雪佛龍在委內瑞拉經營許可，能源股走強。AI 巨頭輝達暴跌超 8%。,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E7%9B%A4%E5%BE%8C-%E5%B7%9D%E6%99%AE%E9%97%9C%E7%A8%85%E5%A8%81%E8%84%85%E5%86%8D%E8%B5%B7-%E8%BC%9D%E9%81%94%E6%9A%B4%E8%B7%8C%E8%B6%858-%E8%B2%BB%E5%8D%8A%E8%A1%80%E5%B4%A9%E9%80%BE6-215212503.html,https://media.zenfs.com/ko/cnyes.com.tw/dee7840a5366115b522a1016e4478358,2025-02-27T13:52:12Z,"(27 ) AI 8%
 190 500 1.59% 2025 2.78% 6%
 3 4 10% 
 25% 
 (GDP) 2.3% 3.1% 
 242,000 
AAII 40.5% 60.6%
 (PCE) 
 (27 ) 
<ul><li> 193.62 0.45% 43,239.5 
</li><li> 530.84 2.78% 18,544.42 
</li… [+850 chars]",0.0
"{'id': None, 'name': 'Yahoo Entertainment'}",Brian Sozzi,"Nvidia posts earnings beat, but future margins are a 'little concerning': What Wall Street is saying",Nvidia's outlook catches extra scrutiny by the markets.,https://finance.yahoo.com/news/nvidia-posts-earnings-beat-but-future-margins-are-a-little-concerning-what-wall-street-is-saying-103444002.html,https://s.yimg.com/ny/api/res/1.2/0AiIc5FRE6Qq0GmLtqCr7A--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDA-/https://s.yimg.com/os/creatr-uploaded-images/2024-03/86a9d5d0-e56c-11ee-afde-16f3be496fa9,2025-02-27T10:34:44Z,"Only in the world of AI darling Nvidia (NVDA) are hypersonic growth rates not seemingly enough for the beloved stock's bulls.
Shares of the $3.2 trillion market cap chipmaker had reversed losses and… [+6456 chars]",0.8481
"{'id': None, 'name': 'Biztoc.com'}",abnormalreturns.com,Wednesday links: the effect of de-globlization,"ETFs
Private shares in a public ETF. The case of the ERShares Private-Public Crossover ETF ($XOVR) (morningstar.com)
Leveraged ETFs are not for holding. (theblock.co)
Big Tech
Apple ($AAPL) is finally replacing Qualcomm ($QCOM) modems. (macworld.com)
Microsof…",https://biztoc.com/x/3bad2904a5f36b0f,https://biztoc.com/cdn/906/og.png,2025-02-26T19:09:17Z,ETFsPrivate shares in a public ETF. The case of the ERShares Private-Public Crossover ETF ($XOVR) (morningstar.com)Leveraged ETFs are not for holding. (theblock.co)Big TechApple ($AAPL) is finally re… [+149 chars],0.296
"{'id': None, 'name': 'Pro-Linux'}",,Mehrere Probleme in Linux (Ubuntu),"Kostenlose Nachrichten, Web-Support und Foren rund um Linux, OpenSource und Freie Software. Angebote wie News, Berichte, Workshops, Tipps, Links und Kalender.",https://www.pro-linux.de/sicherheit/2/88249/sicherheit-mehrere-probleme-in-linux.html,,2025-02-26T15:11:32Z,"--===============8477974954361224626==Content-Type: multipart/signed; boundary=""=-=-="";micalg=pgp-sha512; protocol=""application/pgp-signature""--=-=-=Content-Type: text/plain
========================… [+6940 chars]",0.0
"{'id': None, 'name': 'Yahoo Entertainment'}",鉅亨網編譯羅昀玫 綜合外電,〈美股盤後〉關稅擔憂進一步惡化 道瓊跌超180點 輝達財報公布,關稅擔憂進一步惡化，美股道瓊週三 (26 日) 收跌超 180 點。科技股連日下跌後於週三復甦，AI 巨頭輝達在財報公布前走升，費半指數漲超 2%，那斯達克指數微升 0.26%。,https://tw.stock.yahoo.com/news/%E7%BE%8E%E8%82%A1%E7%9B%A4%E5%BE%8C-%E9%97%9C%E7%A8%85%E6%93%94%E6%86%82%E9%80%B2-%E6%AD%A5%E6%83%A1%E5%8C%96-%E9%81%93%E7%93%8A%E8%B7%8C%E8%B6%85180%E9%BB%9E-%E8%BC%9D%E9%81%94%E8%B2%A1%E5%A0%B1%E5%85%AC%E5%B8%83-212914041.html,https://media.zenfs.com/ko/cnyes.com.tw/d4d59484fb843d974b6e63fc5389719b,2025-02-26T13:29:14Z,"(26 ) 180 AI 2% 0.26%
 (BTC-USD) 4% 85,000 10 4 4.25%
 4 2 25% 
 (26 ) 
<ul><li> 188.04 0.43% 43,433.12 
</li><li> 48.88 0.26% 19,075.26 
</li><li>S&amp;P 500 0.81 0.01% 5,956.06 
</li><li> 10… [+790 chars]",0.0
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,5G Stocks To Keep An Eye On – February 24th,"Super Micro Computer, QUALCOMM, and Cisco Systems are the three 5G stocks to watch today, according to MarketBeat’s stock screener tool. 5G stocks are shares of companies that are significantly involved in the development, production, or deployment of fifth-g…",https://www.etfdailynews.com/2025/02/26/5g-stocks-to-keep-an-eye-on-february-24th/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/super-micro-computer-inc-logo-1200x675.png?v=20240102162614&w=240&h=240&zc=2,2025-02-26T07:40:43Z,"Super Micro Computer, QUALCOMM, and Cisco Systems are the three 5G stocks to watch today, according to MarketBeat’s stock screener tool. 5G stocks are shares of companies that are significantly invol… [+4121 chars]",0.7269
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,QUALCOMM (NASDAQ:QCOM) Stock Price Down 0.7% After Insider Selling,"QUALCOMM Incorporated (NASDAQ:QCOM – Get Free Report) shares fell 0.7% on Monday after an insider sold shares in the company. The stock traded as low as $162.65 and last traded at $164.25. Approximately 1,892,233 shares traded hands during trading, a decline …",https://www.etfdailynews.com/2025/02/26/qualcomm-nasdaqqcom-stock-price-down-0-7-after-insider-selling/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/qualcomm-incorporated-logo-1200x675.png?v=20221020155845&w=240&h=240&zc=2,2025-02-26T06:20:56Z,QUALCOMM Incorporated (NASDAQ:QCOM – Get Free Report) shares fell 0.7% on Monday after an insider sold shares in the company. The stock traded as low as $162.65 and last traded at $164.25. Approximat… [+5514 chars],0.6808
"{'id': None, 'name': 'Pro-Linux'}",,Security: Mehrere Probleme in Linux (Ubuntu),"Kostenlose Nachrichten, Web-Support und Foren rund um Linux, OpenSource und Freie Software. Angebote wie News, Berichte, Workshops, Tipps, Links und Kalender.",https://www.pro-linux.de/sicherheit/2/88236/sicherheit-mehrere-probleme-in-linux-aktualisierung.html,,2025-02-25T22:05:43Z,"--===============6205689186224453630==Content-Type: multipart/signed; boundary=""=-=-="";micalg=pgp-sha512; protocol=""application/pgp-signature""--=-=-=Content-Type: text/plain
========================… [+7079 chars]",0.0
"{'id': None, 'name': 'Pro-Linux'}",,Mehrere Probleme in Linux (Ubuntu),"Kostenlose Nachrichten, Web-Support und Foren rund um Linux, OpenSource und Freie Software. Angebote wie News, Berichte, Workshops, Tipps, Links und Kalender.",https://www.pro-linux.de/sicherheit/2/88213/sicherheit-mehrere-probleme-in-linux-aktualisierung.html,,2025-02-25T22:01:43Z,"--===============5593032292866554889==Content-Type: multipart/signed; boundary=""=-=-="";micalg=pgp-sha512; protocol=""application/pgp-signature""--=-=-=Content-Type: text/plain
========================… [+7570 chars]",0.0
"{'id': None, 'name': 'Pro-Linux'}",,Mehrere Probleme in Linux (Ubuntu),"Kostenlose Nachrichten, Web-Support und Foren rund um Linux, OpenSource und Freie Software. Angebote wie News, Berichte, Workshops, Tipps, Links und Kalender.",https://www.pro-linux.de/sicherheit/2/88212/sicherheit-mehrere-probleme-in-linux-aktualisierung.html,,2025-02-25T22:00:43Z,"--===============0548652621468475070==Content-Type: multipart/signed; boundary=""=-=-="";micalg=pgp-sha512; protocol=""application/pgp-signature""--=-=-=Content-Type: text/plain; charset=utf-8Content-Tra… [+7823 chars]",0.0
