DATE,DEXKOUS
2000-02-01,1127.00
2000-02-02,1131.00
2000-02-03,1130.50
2000-02-04,1130.00
2000-02-07,1129.60
2000-02-08,1129.50
2000-02-09,1124.00
2000-02-10,1121.00
2000-02-11,1115.00
2000-02-14,1128.00
2000-02-15,1128.00
2000-02-16,1126.00
2000-02-17,1128.00
2000-02-18,1129.00
2000-02-21,.
2000-02-22,1135.00
2000-02-23,1136.00
2000-02-24,1144.00
2000-02-25,1137.00
2000-02-28,1135.00
2000-02-29,1131.31
2000-03-01,1128.50
2000-03-02,1120.50
2000-03-03,1120.50
2000-03-06,1119.30
2000-03-07,1118.70
2000-03-08,1119.20
2000-03-09,1123.00
2000-03-10,1120.20
2000-03-13,1121.00
2000-03-14,1118.40
2000-03-15,1118.50
2000-03-16,1118.00
2000-03-17,1117.30
2000-03-20,1118.18
2000-03-21,1117.00
2000-03-22,1113.00
2000-03-23,1110.00
2000-03-24,1108.70
2000-03-27,1112.10
2000-03-28,1112.50
2000-03-29,1109.40
2000-03-30,1107.50
2000-03-31,1105.50
2000-04-03,1113.00
2000-04-04,1114.00
2000-04-05,1115.50
2000-04-06,1112.00
2000-04-07,1107.50
2000-04-10,1110.50
2000-04-11,1110.00
2000-04-12,1108.50
2000-04-13,1107.00
2000-04-14,1111.20
2000-04-17,1113.80
2000-04-18,1110.00
2000-04-19,1109.50
2000-04-20,1109.00
2000-04-21,1108.50
2000-04-24,1108.80
2000-04-25,1108.50
2000-04-26,1108.10
2000-04-27,1111.00
2000-04-28,1110.00
2000-05-01,1110.00
2000-05-02,1110.10
2000-05-03,1110.00
2000-05-04,1111.50
2000-05-05,1111.00
2000-05-08,1109.70
2000-05-09,1109.50
2000-05-10,1109.20
2000-05-11,1113.00
2000-05-12,1113.50
2000-05-15,1114.90
2000-05-16,1115.00
2000-05-17,1115.60
2000-05-18,1118.80
2000-05-19,1122.50
2000-05-22,1131.50
2000-05-23,1135.00
2000-05-24,1133.50
2000-05-25,1129.90
2000-05-26,1137.50
2000-05-29,.
2000-05-30,1137.00
2000-05-31,1130.00
2000-06-01,1133.00
2000-06-02,1125.20
2000-06-05,1118.00
2000-06-06,1117.00
2000-06-07,1113.20
2000-06-08,1116.00
2000-06-09,1115.50
2000-06-12,1113.40
2000-06-13,1114.40
2000-06-14,1114.50
2000-06-15,1115.00
2000-06-16,1116.40
2000-06-19,1122.22
2000-06-20,1120.00
2000-06-21,1119.30
2000-06-22,1118.80
2000-06-23,1119.50
2000-06-26,1118.20
2000-06-27,1118.30
2000-06-28,1116.50
2000-06-29,1115.00
2000-06-30,1115.15
2000-07-03,1113.90
2000-07-04,.
2000-07-05,1117.50
2000-07-06,1117.50
2000-07-07,1119.00
2000-07-10,1118.50
2000-07-11,1116.70
2000-07-12,1115.70
2000-07-13,1111.30
2000-07-14,1113.00
2000-07-17,1113.10
2000-07-18,1113.70
2000-07-19,1112.30
2000-07-20,1111.60
2000-07-21,1113.00
2000-07-24,1114.20
2000-07-25,1116.00
2000-07-26,1115.60
2000-07-27,1115.00
2000-07-28,1117.00
2000-07-31,1116.90
2000-08-01,1115.80
2000-08-02,1115.80
2000-08-03,1115.00
2000-08-04,1116.00
2000-08-07,1118.00
2000-08-08,1116.50
2000-08-09,1115.30
2000-08-10,1114.50
2000-08-11,1116.00
2000-08-14,1117.00
2000-08-15,1116.30
2000-08-16,1115.20
2000-08-17,1115.00
2000-08-18,1115.10
2000-08-21,1114.50
2000-08-22,1114.14
2000-08-23,1114.80
2000-08-24,1114.20
2000-08-25,1114.10
2000-08-28,1111.90
2000-08-29,1110.20
2000-08-30,1108.60
2000-08-31,1108.80
2000-09-01,1105.70
2000-09-04,.
2000-09-05,1105.50
2000-09-06,1107.40
2000-09-07,1111.00
2000-09-08,1109.50
2000-09-11,1109.50
2000-09-12,1109.50
2000-09-13,1110.00
2000-09-14,1115.20
2000-09-15,1119.90
2000-09-18,1140.00
2000-09-19,1127.00
2000-09-20,1127.00
2000-09-21,1128.00
2000-09-22,1135.00
2000-09-25,1126.00
2000-09-26,1120.00
2000-09-27,1114.00
2000-09-28,1115.90
2000-09-29,1115.30
2000-10-02,1118.18
2000-10-03,1120.00
2000-10-04,1120.00
2000-10-05,1120.00
2000-10-06,1119.00
2000-10-09,.
2000-10-10,1121.90
2000-10-11,1124.00
2000-10-12,1124.00
2000-10-13,1132.00
2000-10-16,1130.00
2000-10-17,1136.00
2000-10-18,1140.00
2000-10-19,1140.00
2000-10-20,1132.00
2000-10-23,1141.00
2000-10-24,1138.00
2000-10-25,1140.00
2000-10-26,1140.00
2000-10-27,1138.00
2000-10-30,1140.00
2000-10-31,1139.00
2000-11-01,1138.30
2000-11-02,1134.80
2000-11-03,1136.30
2000-11-06,1135.00
2000-11-07,1139.00
2000-11-08,1136.50
2000-11-09,1132.00
2000-11-10,1137.00
2000-11-13,1141.00
2000-11-14,1139.00
2000-11-15,1138.70
2000-11-16,1141.30
2000-11-17,1144.50
2000-11-20,1157.00
2000-11-21,1168.00
2000-11-22,1179.00
2000-11-23,.
2000-11-24,1191.00
2000-11-27,1189.00
2000-11-28,1189.00
2000-11-29,1204.00
2000-11-30,1217.00
2000-12-01,1211.00
2000-12-04,1220.00
2000-12-05,1204.00
2000-12-06,1201.00
2000-12-07,1201.00
2000-12-08,1192.00
2000-12-11,1184.00
2000-12-12,1191.00
2000-12-13,1192.10
2000-12-14,1203.00
2000-12-15,1208.00
2000-12-18,1206.00
2000-12-19,1209.00
2000-12-20,1218.00
2000-12-21,1228.80
2000-12-22,1237.30
2000-12-25,.
2000-12-26,1252.50
2000-12-27,1260.00
2000-12-28,1253.00
2000-12-29,1267.00
2001-01-01,.
2001-01-02,1279.00
2001-01-03,1271.50
2001-01-04,1265.00
2001-01-05,1264.70
2001-01-08,1263.60
2001-01-09,1253.30
2001-01-10,1270.00
2001-01-11,1279.20
2001-01-12,1279.20
2001-01-15,.
2001-01-16,1283.80
2001-01-17,1279.00
2001-01-18,1286.00
2001-01-19,1276.12
2001-01-22,1275.10
2001-01-23,1275.10
2001-01-24,1275.80
2001-01-25,1277.50
2001-01-26,1281.90
2001-01-29,1266.00
2001-01-30,1265.50
2001-01-31,1258.00
2001-02-01,1257.00
2001-02-02,1249.50
2001-02-05,1263.00
2001-02-06,1259.00
2001-02-07,1270.00
2001-02-08,1267.00
2001-02-09,1265.00
2001-02-12,1264.10
2001-02-13,1255.50
2001-02-14,1252.50
2001-02-15,1242.00
2001-02-16,1244.00
2001-02-19,.
2001-02-20,1234.00
2001-02-21,1240.00
2001-02-22,1241.10
2001-02-23,1249.10
2001-02-26,1247.10
2001-02-27,1249.50
2001-02-28,1254.80
2001-03-01,1253.10
2001-03-02,1268.00
2001-03-05,1275.00
2001-03-06,1265.50
2001-03-07,1274.50
2001-03-08,1272.00
2001-03-09,1269.10
2001-03-12,1280.00
2001-03-13,1276.00
2001-03-14,1278.00
