ticker,abbreviated name
sz000989,九 芝 堂
sz000620,新华联
sz000402,金 融 街
sh600561,江西长运
sz000690,宝新能源
sh600066,宇通客车
sh600211,西藏药业
sh600546,山煤国际
sh600118,中国卫星
sz000568,泸州老窖
sz000776,广发证券
sh600271,航天信息
sh600459,贵研铂业
sz000686,东北证券
sz000811,冰轮环境
sz000717,韶钢松山
sz000155,川能动力
sz000767,晋控电力
sz000782,美达股份
sz000810,创维数字
sz000985,大庆华科
sz000888,峨眉山Ａ
sz000869,张 裕Ａ
sz000889,ST中嘉
sz000903,云内动力
sz000912,泸天化
sz000915,华特达因
sz000938,紫光股份
sz000959,首钢股份
sh600099,林海股份
sz000807,云铝股份
sh600210,紫江企业
sh600231,凌钢股份
sh600436,片仔癀
sh600563,法拉电子
sh600573,惠泉啤酒
sh600666,*ST瑞德
sh600693,东百集团
sz000833,粤桂股份
sh600960,渤海汽车
sh600127,金健米业
sz000830,鲁西化工
sz000623,吉林敖东
sz000823,超声电子
sz000020,深华发Ａ
sz000025,特 力Ａ
sz000060,中金岭南
sz000150,*ST宜康
sz000828,东莞控股
sz000410,*ST沈机
sz000514,渝 开 发
sz000526,学大教育
sz000589,贵州轮胎
sz000159,国际实业
sz000596,古井贡酒
sz000608,阳光股份
sz000685,中山公用
sz000705,浙江震元
sz000710,贝瑞基因
sz000715,中兴商业
sz000802,ST北文
sz000591,太阳能
sh600738,丽尚国潮
sh600246,万通发展
sz000538,云南白药
sz002040,南 京 港
sh600390,五矿资本
sz002181,粤 传 媒
sh600037,歌华有线
sh600063,皖维高新
sh600125,铁龙物流
sh600273,嘉化能源
sh600318,新力金融
sz002038,双鹭药业
sh600406,国电南瑞
sh600331,宏达股份
sh600495,晋西车轴
sh600511,国药股份
sh600598,北大荒
sh600710,苏美达
sh600769,祥龙电业
sh600793,宜宾纸业
sh600845,宝信软件
sh600873,梅花生物
sz002036,联创电子
sh600892,大晟文化
sh600480,凌云股份
sz002021,ST中捷
sz001696,宗申动力
sz002007,华兰生物
sz000028,国药一致
